Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2018-19,India,599637,438240,1037877,2926636,2449729,5376365,846345,792989,1639334,3772981,3242718,7015699,242007,281918,523925,201050,228720,429770,4216038,3753356,7969394,4815675,4191596,9007271
2018-19,Andaman and Nicobar Islands,16,13,29,3,5,8,0,0,0,3,5,8,0,0,0,0,0,0,3,5,8,19,18,37
2018-19,Andhra Pradesh,0,0,0,11524,10486,22010,2266,3184,5450,13790,13670,27460,105,285,390,351,275,626,14246,14230,28476,14246,14230,28476
2018-19,Arunachal Pradesh,391,364,755,1948,1525,3473,359,224,583,2307,1749,4056,30,13,43,164,90,254,2501,1852,4353,2892,2216,5108
2018-19,Assam,13044,12758,25802,140502,134778,275280,16692,18132,34824,157194,152910,310104,25523,27836,53359,9870,9692,19562,192587,190438,383025,205631,203196,408827
2018-19,Bihar,206993,130242,337235,787629,592813,1380442,256815,217149,473964,1044444,809962,1854406,40290,41579,81869,26986,24169,51155,1111720,875710,1987430,1318713,1005952,2324665
2018-19,Chandigarh,2380,1799,4179,2737,1790,4527,449,278,727,3186,2068,5254,46,23,69,13,7,20,3245,2098,5343,5625,3897,9522
2018-19,Chhattisgarh,91,65,156,6464,4549,11013,1915,1558,3473,8379,6107,14486,0,0,0,0,0,0,8379,6107,14486,8470,6172,14642
2018-19,Dadra and Nagar Haveli,32,30,62,49,41,90,0,0,0,49,41,90,0,0,0,0,0,0,49,41,90,81,71,152
2018-19,Daman and Diu,0,0,0,183,0,183,40,0,40,223,0,223,29,0,29,33,0,33,285,0,285,285,0,285
2018-19,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Gujarat,0,0,0,243,275,518,178,179,357,421,454,875,263,186,449,28,58,86,712,698,1410,712,698,1410
2018-19,Haryana,19242,14912,34154,59345,43525,102870,15654,11291,26945,74999,54816,129815,1779,989,2768,477,352,829,77255,56157,133412,96497,71069,167566
2018-19,Himachal Pradesh,0,0,0,12,4,16,0,0,0,12,4,16,0,0,0,0,0,0,12,4,16,12,4,16
2018-19,Jammu and Kashmir,471,407,878,1891,1038,2929,118,40,158,2009,1078,3087,17,96,113,0,57,57,2026,1231,3257,2497,1638,4135
2018-19,Jharkhand,207032,148988,356020,507932,366924,874856,170364,127655,298019,678296,494579,1172875,33689,29044,62733,4960,4839,9799,716945,528462,1245407,923977,677450,1601427
2018-19,Karnataka,5,4,9,329,409,738,95,118,213,424,527,951,28,35,63,0,0,0,452,562,1014,457,566,1023
2018-19,Kerala,31091,26842,57933,83010,73172,156182,19104,16456,35560,102114,89628,191742,5181,4745,9926,2022,2258,4280,109317,96631,205948,140408,123473,263881
2018-19,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,614,707,1321,51183,49138,100321,18196,17821,36017,69379,66959,136338,0,0,0,0,0,0,69379,66959,136338,69993,67666,137659
2018-19,Maharashtra,15441,13817,29258,56988,47200,104188,14579,11037,25616,71567,58237,129804,3902,2617,6519,566,319,885,76035,61173,137208,91476,74990,166466
2018-19,Manipur,3766,3609,7375,7709,7102,14811,1624,1573,3197,9333,8675,18008,79,69,148,0,0,0,9412,8744,18156,13178,12353,25531
2018-19,Meghalaya,4526,4276,8802,7127,7232,14359,1814,2381,4195,8941,9613,18554,1995,2778,4773,641,930,1571,11577,13321,24898,16103,17597,33700
2018-19,Mizoram,673,669,1342,1181,1146,2327,256,288,544,1437,1434,2871,504,473,977,301,303,604,2242,2210,4452,2915,2879,5794
2018-19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Odisha,15677,11681,27358,92890,68304,161194,23775,16889,40664,116665,85193,201858,6005,5467,11472,106667,114156,220823,229337,204816,434153,245014,216497,461511
2018-19,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Punjab,8529,7197,15726,21519,17247,38766,9563,8062,17625,31082,25309,56391,5291,4612,9903,5645,6327,11972,42018,36248,78266,50547,43445,93992
2018-19,Rajasthan,2617,2496,5113,76750,71601,148351,10461,9816,20277,87211,81417,168628,1404,1466,2870,450,483,933,89065,83366,172431,91682,85862,177544
2018-19,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Tamil Nadu,15136,12440,27576,20840,16638,37478,5257,4055,9312,26097,20693,46790,1780,1418,3198,1065,769,1834,28942,22880,51822,44078,35320,79398
2018-19,Telangana,73,68,141,5484,5457,10941,754,1480,2234,6238,6937,13175,126,82,208,0,0,0,6364,7019,13383,6437,7087,13524
2018-19,Tripura,1854,1493,3347,7210,5686,12896,784,218,1002,7994,5904,13898,161,49,210,25,9,34,8180,5962,14142,10034,7455,17489
2018-19,Uttar Pradesh,8505,8509,17014,821517,781817,1603334,167601,178730,346331,989118,960547,1949665,56776,52091,108867,13824,13536,27360,1059718,1026174,2085892,1068223,1034683,2102906
2018-19,Uttarakhand,2537,2230,4767,24448,20650,45098,5566,5250,10816,30014,25900,55914,959,1261,2220,185,311,496,31158,27472,58630,33695,29702,63397
2018-19,West Bengal,38901,32624,71525,127989,119177,247166,102066,139125,241191,230055,258302,488357,56045,104704,160749,26777,49780,76557,312877,412786,725663,351778,445410,797188
2019-20,India,564359,421913,986272,2781779,2362044,5143823,716411,651708,1368119,3498190,3013752,6511942,142657,150252,292909,46267,50719,96986,3687114,3214723,6901837,4251473,3636636,7888109
2019-20,Andaman and Nicobar Islands,10,13,23,5,3,8,0,0,0,5,3,8,0,0,0,0,0,0,5,3,8,15,16,31
2019-20,Andhra Pradesh,435,336,771,8421,7658,16079,1911,2923,4834,10332,10581,20913,89,234,323,150,109,259,10571,10924,21495,11006,11260,22266
2019-20,Arunachal Pradesh,695,584,1279,2218,1700,3918,431,293,724,2649,1993,4642,0,0,0,0,0,0,2649,1993,4642,3344,2577,5921
2019-20,Assam,11395,11083,22478,134106,128741,262847,15646,17204,32850,149752,145945,295697,23444,26603,50047,8945,8963,17908,182141,181511,363652,193536,192594,386130
2019-20,Bihar,188575,124823,313398,755153,589100,1344253,238436,212367,450803,993589,801467,1795056,26057,33289,59346,15578,19070,34648,1035224,853826,1889050,1223799,978649,2202448
2019-20,Chandigarh,2384,1838,4222,2753,1809,4562,467,289,756,3220,2098,5318,47,25,72,11,8,19,3278,2131,5409,5662,3969,9631
2019-20,Chhattisgarh,45,30,75,6531,4616,11147,2030,1607,3637,8561,6223,14784,0,0,0,0,0,0,8561,6223,14784,8606,6253,14859
2019-20,Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Daman and Diu,0,0,0,183,0,183,40,0,40,223,0,223,29,0,29,33,0,33,285,0,285,285,0,285
2019-20,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,0,0,0,225,285,510,166,150,316,391,435,826,147,159,306,13,44,57,551,638,1189,551,638,1189
2019-20,Haryana,18743,14895,33638,53575,39600,93175,13343,9619,22962,66918,49219,116137,869,444,1313,137,103,240,67924,49766,117690,86667,64661,151328
2019-20,Himachal Pradesh,0,0,0,12,4,16,0,0,0,12,4,16,0,0,0,0,0,0,12,4,16,12,4,16
2019-20,Jammu and Kashmir,1192,1012,2204,3685,2297,5982,957,820,1777,4642,3117,7759,211,269,480,0,54,54,4853,3440,8293,6045,4452,10497
2019-20,Jharkhand,206141,150110,356251,489237,356135,845372,160893,123758,284651,650130,479893,1130023,19365,18510,37875,1145,1445,2590,670640,499848,1170488,876781,649958,1526739
2019-20,Karnataka,16,15,31,241,103,344,131,132,263,372,235,607,17,18,35,0,0,0,389,253,642,405,268,673
2019-20,Kerala,24499,21827,46326,58033,52052,110085,9474,8281,17755,67507,60333,127840,789,709,1498,126,271,397,68422,61313,129735,92921,83140,176061
2019-20,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,405,562,967,50667,49960,100627,18802,18415,37217,69469,68375,137844,46,48,94,16,21,37,69531,68444,137975,69936,69006,138942
2019-20,Maharashtra,14434,12750,27184,53579,44413,97992,13944,10263,24207,67523,54676,122199,4060,2180,6240,189,155,344,71772,57011,128783,86206,69761,155967
2019-20,Manipur,3940,3695,7635,7792,7159,14951,1658,1513,3171,9450,8672,18122,42,58,100,0,0,0,9492,8730,18222,13432,12425,25857
2019-20,Meghalaya,5578,5407,10985,8808,8715,17523,2055,2690,4745,10863,11405,22268,2333,3191,5524,837,1124,1961,14033,15720,29753,19611,21127,40738
2019-20,Mizoram,765,757,1522,1349,1283,2632,402,411,813,1751,1694,3445,619,575,1194,363,334,697,2733,2603,5336,3498,3360,6858
2019-20,Nagaland,24,26,50,26,30,56,0,0,0,26,30,56,0,0,0,0,0,0,26,30,56,50,56,106
2019-20,Odisha,96,81,177,49172,36355,85527,10583,7111,17694,59755,43466,103221,3989,3008,6997,1409,833,2242,65153,47307,112460,65249,47388,112637
2019-20,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Punjab,8740,7332,16072,17012,13936,30948,7214,6256,13470,24226,20192,44418,3159,3099,6258,3427,4658,8085,30812,27949,58761,39552,35281,74833
2019-20,Rajasthan,2135,2094,4229,75394,70417,145811,10182,9675,19857,85576,80092,165668,1313,1404,2717,382,435,817,87271,81931,169202,89406,84025,173431
2019-20,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Tamil Nadu,16125,13527,29652,21660,17750,39410,5274,4119,9393,26934,21869,48803,1751,1331,3082,1318,900,2218,30003,24100,54103,46128,37627,83755
2019-20,Telangana,61,79,140,4683,4361,9044,815,1429,2244,5498,5790,11288,60,6,66,0,0,0,5558,5796,11354,5619,5875,11494
2019-20,Tripura,2483,2013,4496,6815,5297,12112,698,244,942,7513,5541,13054,192,47,239,38,18,56,7743,5606,13349,10226,7619,17845
2019-20,Uttar Pradesh,5485,5549,11034,844927,813680,1658607,177455,191531,368986,1022382,1005211,2027593,50741,50757,101498,11403,11301,22704,1084526,1067269,2151795,1090011,1072818,2162829
2019-20,Uttarakhand,850,715,1565,25193,21398,46591,5908,5746,11654,31101,27144,58245,1270,1510,2780,349,424,773,32720,29078,61798,33570,29793,63363
2019-20,West Bengal,49108,40760,89868,100324,83187,183511,17496,14862,32358,117820,98049,215869,2018,2778,4796,398,449,847,120236,101276,221512,169344,142036,311380
2020-21,India,395160,304558,699718,2679526,2314032,4993558,760662,701476,1462138,3440188,3015508,6455696,144987,149698,294685,43990,48729,92719,3629165,3213935,6843100,4024325,3518493,7542818
2020-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Andhra Pradesh,356,301,657,6678,6222,12900,2012,2762,4774,8690,8984,17674,168,331,499,154,81,235,9012,9396,18408,9368,9697,19065
2020-21,Arunachal Pradesh,616,558,1174,1686,1395,3081,379,297,676,2065,1692,3757,0,0,0,0,0,0,2065,1692,3757,2681,2250,4931
2020-21,Assam,9748,9749,19497,133084,128438,261522,15347,16971,32318,148431,145409,293840,21928,25088,47016,9225,9438,18663,179584,179935,359519,189332,189684,379016
2020-21,Bihar,138403,97272,235675,743193,602735,1345928,261558,239300,500858,1004751,842035,1846786,25452,31505,56957,16100,20738,36838,1046303,894278,1940581,1184706,991550,2176256
2020-21,Chandigarh,1235,982,2217,2424,1648,4072,461,286,747,2885,1934,4819,48,24,72,9,9,18,2942,1967,4909,4177,2949,7126
2020-21,Chhattisgarh,20,6,26,6091,4522,10613,1991,1530,3521,8082,6052,14134,0,0,0,0,0,0,8082,6052,14134,8102,6058,14160
2020-21,Daman and Diu and Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Gujarat,0,0,0,189,255,444,175,161,336,364,416,780,160,158,318,7,72,79,531,646,1177,531,646,1177
2020-21,Haryana,9861,7711,17572,47109,34848,81957,13333,9886,23219,60442,44734,105176,678,384,1062,131,107,238,61251,45225,106476,71112,52936,124048
2020-21,Himachal Pradesh,0,0,0,7,5,12,0,0,0,7,5,12,0,0,0,0,0,0,7,5,12,7,5,12
2020-21,Jammu and Kashmir,1194,986,2180,3800,2831,6631,961,858,1819,4761,3689,8450,263,312,575,0,108,108,5024,4109,9133,6218,5095,11313
2020-21,Jharkhand,125364,92607,217971,466042,346045,812087,165828,127037,292865,631870,473082,1104952,20730,18154,38884,1131,1366,2497,653731,492602,1146333,779095,585209,1364304
2020-21,Karnataka,10,6,16,197,101,298,158,120,278,355,221,576,52,66,118,0,0,0,407,287,694,417,293,710
2020-21,Kerala,15788,14818,30606,46169,41663,87832,7562,6695,14257,53731,48358,102089,622,652,1274,120,251,371,54473,49261,103734,70261,64079,134340
2020-21,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,418,491,909,42259,40888,83147,16245,15970,32215,58504,56858,115362,40,44,84,16,23,39,58560,56925,115485,58978,57416,116394
2020-21,Maharashtra,8145,6940,15085,48413,40252,88665,13447,10047,23494,61860,50299,112159,3448,2015,5463,101,118,219,65409,52432,117841,73554,59372,132926
2020-21,Manipur,2824,2633,5457,6570,6052,12622,1312,1214,2526,7882,7266,15148,47,55,102,0,0,0,7929,7321,15250,10753,9954,20707
2020-21,Meghalaya,5606,5241,10847,9528,9447,18975,2070,2835,4905,11598,12282,23880,2395,3355,5750,786,1077,1863,14779,16714,31493,20385,21955,42340
2020-21,Mizoram,641,674,1315,1447,1289,2736,473,482,955,1920,1771,3691,593,645,1238,279,246,525,2792,2662,5454,3433,3336,6769
2020-21,Nagaland,14,13,27,23,30,53,0,0,0,23,30,53,0,0,0,0,0,0,23,30,53,37,43,80
2020-21,Odisha,12329,10056,22385,52615,38921,91536,13797,9728,23525,66412,48649,115061,4791,3608,8399,1343,899,2242,72546,53156,125702,84875,63212,148087
2020-21,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,39,46,85,625,359,984,94,156,250,719,515,1234,6,6,12,0,0,0,725,521,1246,764,567,1331
2020-21,Rajasthan,1003,946,1949,73917,68581,142498,10632,10174,20806,84549,78755,163304,1470,1552,3022,460,474,934,86479,80781,167260,87482,81727,169209
2020-21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,8950,7742,16692,19818,16729,36547,3594,3134,6728,23412,19863,43275,852,760,1612,477,392,869,24741,21015,45756,33691,28757,62448
2020-21,Telangana,89,88,177,3307,2891,6198,906,1466,2372,4213,4357,8570,12,3,15,0,0,0,4225,4360,8585,4314,4448,8762
2020-21,Tripura,1683,1444,3127,6478,4918,11396,776,258,1034,7254,5176,12430,200,57,257,71,21,92,7525,5254,12779,9208,6698,15906
2020-21,Uttar Pradesh,4401,4401,8802,827397,802331,1629728,200799,215757,416556,1028196,1018088,2046284,56385,55521,111906,12603,12121,24724,1097184,1085730,2182914,1101585,1090131,2191716
2020-21,Uttarakhand,606,527,1133,28493,24467,52960,8042,7771,15813,36535,32238,68773,1778,1695,3473,496,566,1062,38809,34499,73308,39415,35026,74441
2020-21,West Bengal,45817,38320,84137,101967,86169,188136,18710,16581,35291,120677,102750,223427,2869,3708,6577,481,622,1103,124027,107080,231107,169844,145400,315244
2021-22,India,304769,236088,540857,2353046,2038937,4391983,715104,661622,1376726,3068150,2700559,5768709,137476,140638,278114,46081,50816,96897,3251707,2892013,6143720,3556476,3128101,6684577
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,49,59,108,5076,5217,10293,1728,2419,4147,6804,7636,14440,164,244,408,0,0,0,6968,7880,14848,7017,7939,14956
2021-22,Arunachal Pradesh,549,487,1036,1713,1331,3044,329,265,594,2042,1596,3638,0,0,0,0,0,0,2042,1596,3638,2591,2083,4674
2021-22,Assam,7250,7451,14701,94857,92351,187208,12915,14066,26981,107772,106417,214189,18695,22138,40833,9706,10771,20477,136173,139326,275499,143423,146777,290200
2021-22,Bihar,113431,80609,194040,668699,546805,1215504,253979,231372,485351,922678,778177,1700855,23204,28152,51356,14598,18835,33433,960480,825164,1785644,1073911,905773,1979684
2021-22,Chandigarh,997,779,1776,2127,1480,3607,434,248,682,2561,1728,4289,41,30,71,7,9,16,2609,1767,4376,3606,2546,6152
2021-22,Chhattisgarh,0,0,0,5260,3854,9114,1766,1415,3181,7026,5269,12295,0,0,0,0,0,0,7026,5269,12295,7026,5269,12295
2021-22,Daman and Diu and Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,0,0,0,201,246,447,166,179,345,367,425,792,145,150,295,22,99,121,534,674,1208,534,674,1208
2021-22,Haryana,12326,9746,22072,43712,32134,75846,13485,9549,23034,57197,41683,98880,555,349,904,161,165,326,57913,42197,100110,70239,51943,122182
2021-22,Himachal Pradesh,0,0,0,38,31,69,0,0,0,38,31,69,0,0,0,0,0,0,38,31,69,38,31,69
2021-22,Jammu and Kashmir,1154,921,2075,3391,2280,5671,996,765,1761,4387,3045,7432,193,279,472,0,55,55,4580,3379,7959,5734,4300,10034
2021-22,Jharkhand,99702,75030,174732,364885,273424,638309,141233,109676,250909,506118,383100,889218,20155,17593,37748,1266,1577,2843,527539,402270,929809,627241,477300,1104541
2021-22,Karnataka,12,10,22,227,96,323,170,120,290,397,216,613,96,126,222,0,0,0,493,342,835,505,352,857
2021-22,Kerala,12918,11681,24599,36845,32919,69764,6722,5823,12545,43567,38742,82309,505,554,1059,133,231,364,44205,39527,83732,57123,51208,108331
2021-22,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,373,420,793,37634,35596,73230,15271,14734,30005,52905,50330,103235,32,42,74,14,23,37,52951,50395,103346,53324,50815,104139
2021-22,Maharashtra,5116,4465,9581,37791,31104,68895,10742,7716,18458,48533,38820,87353,2675,1927,4602,663,68,731,51871,40815,92686,56987,45280,102267
2021-22,Manipur,2440,2219,4659,4835,4562,9397,988,896,1884,5823,5458,11281,0,0,0,0,0,0,5823,5458,11281,8263,7677,15940
2021-22,Meghalaya,5661,5218,10879,9264,9280,18544,2002,2553,4555,11266,11833,23099,2348,3310,5658,954,1375,2329,14568,16518,31086,20229,21736,41965
2021-22,Mizoram,609,623,1232,1587,1480,3067,554,548,1102,2141,2028,4169,579,618,1197,322,331,653,3042,2977,6019,3651,3600,7251
2021-22,Nagaland,16,15,31,23,32,55,0,0,0,23,32,55,0,0,0,0,0,0,23,32,55,39,47,86
2021-22,Odisha,3782,2957,6739,39195,29417,68612,9716,7326,17042,48911,36743,85654,4051,3352,7403,1066,881,1947,54028,40976,95004,57810,43933,101743
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,99,36,135,442,240,682,129,86,215,571,326,897,0,0,0,0,0,0,571,326,897,670,362,1032
2021-22,Rajasthan,1077,954,2031,73900,68950,142850,10986,10479,21465,84886,79429,164315,1396,1512,2908,507,531,1038,86789,81472,168261,87866,82426,170292
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,4448,4020,8468,15892,13499,29391,3180,2921,6101,19072,16420,35492,991,812,1803,581,455,1036,20644,17687,38331,25092,21707,46799
2021-22,Telangana,81,76,157,2126,1992,4118,907,1403,2310,3033,3395,6428,16,2,18,0,0,0,3049,3397,6446,3130,3473,6603
2021-22,Tripura,1513,1308,2821,6185,4783,10968,716,188,904,6901,4971,11872,254,56,310,113,23,136,7268,5050,12318,8781,6358,15139
2021-22,Uttar Pradesh,3698,3495,7193,804665,765827,1570492,203966,218199,422165,1008631,984026,1992657,58100,55872,113972,14661,14015,28676,1081392,1053913,2135305,1085090,1057408,2142498
2021-22,Uttarakhand,443,440,883,26926,23938,50864,8628,8226,16854,35554,32164,67718,1499,1907,3406,886,696,1582,37939,34767,72706,38382,35207,73589
2021-22,West Bengal,27025,23069,50094,65550,56069,121619,13396,10450,23846,78946,66519,145465,1782,1613,3395,421,676,1097,81149,68808,149957,108174,91877,200051