Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2018-19,India,23013491,4628793,1677916,3207384,12018933,2457481,911568,1599718,10994558,2171312,766348,1607666
2018-19,Andaman and Nicobar Islands,5520,3098,1212,402,2843,1585,623,192,2677,1513,589,210
2018-19,Andhra Pradesh,704223,0,0,0,362720,0,0,0,341503,0,0,0
2018-19,Arunachal Pradesh,25902,3093,1541,2607,13313,1609,870,1334,12589,1484,671,1273
2018-19,Assam,829622,269075,50602,130065,424367,138647,26399,65083,405255,130428,24203,64982
2018-19,Bihar,1902029,58626,35343,209317,986550,33047,19295,104462,915479,25579,16048,104855
2018-19,Chandigarh,16450,9430,2969,793,8729,4949,1557,432,7721,4481,1412,361
2018-19,Chhattisgarh,551603,406937,143784,882,283720,210686,72534,500,267883,196251,71250,382
2018-19,Dadra and Nagar Haveli,8485,1617,1729,1683,4426,936,965,809,4059,681,764,874
2018-19,Daman and Diu,3966,1227,704,331,2131,668,386,160,1835,559,318,171
2018-19,Delhi,323412,182725,125276,15411,171865,89807,73555,8503,151547,92918,51721,6908
2018-19,Goa,25422,10548,4882,3094,13025,5372,2577,1571,12397,5176,2305,1523
2018-19,Gujarat,1107803,136466,59482,371128,586379,77200,33766,189623,521424,59266,25716,181505
2018-19,Haryana,516565,136008,47039,63256,283660,77385,26767,31940,232905,58623,20272,31316
2018-19,Himachal Pradesh,109564,29148,4965,14739,57395,15694,2788,7356,52169,13454,2177,7383
2018-19,Jammu and Kashmir,239822,110206,11637,4622,125050,56672,6352,2310,114772,53534,5285,2312
2018-19,Jharkhand,666998,123099,29613,112143,346553,66300,16570,55977,320445,56799,13043,56166
2018-19,Karnataka,1127477,385161,220256,522060,589604,214887,122846,251871,537873,170274,97410,270189
2018-19,Kerala,492616,211224,67324,31567,252369,108198,34816,16184,240247,103026,32508,15383
2018-19,Ladakh,5114,2324,336,322,2626,1218,175,160,2488,1106,161,162
2018-19,Lakshadweep,961,33,863,0,471,14,437,0,490,19,426,0
2018-19,Madhya Pradesh,1138533,141116,24237,155311,590048,77404,13645,77204,548485,63712,10592,78107
2018-19,Maharashtra,1947131,436956,228932,644666,1024751,236044,124442,325915,922380,200912,104490,318751
2018-19,Manipur,78779,23445,15840,11972,40188,12153,7970,6070,38591,11292,7870,5902
2018-19,Meghalaya,125953,77491,7817,1925,64617,39782,4050,1035,61336,37709,3767,890
2018-19,Mizoram,32371,12868,2676,8349,16770,6534,1400,4448,15601,6334,1276,3901
2018-19,Nagaland,29339,21510,2260,74,15158,11173,1133,33,14181,10337,1127,41
2018-19,Odisha,712315,260,97144,9938,367822,133,50352,4970,344493,127,46792,4968
2018-19,Puducherry,19949,11805,2827,172,10242,6206,1382,95,9707,5599,1445,77
2018-19,Punjab,435132,67865,20427,18499,236856,37224,11333,9451,198276,30641,9094,9048
2018-19,Rajasthan,1734659,224692,111375,211210,913914,125663,61373,102417,820745,99029,50002,108793
2018-19,Sikkim,6467,3141,1044,238,3409,1644,577,117,3058,1497,467,121
2018-19,Tamil Nadu,1058051,0,0,0,548597,0,0,0,509454,0,0,0
2018-19,Telangana,606798,241477,102257,155188,315701,129757,54704,75707,291097,111720,47553,79481
2018-19,Tripura,60491,5168,4101,18865,30627,2777,2044,9491,29864,2391,2057,9374
2018-19,Uttar Pradesh,4526939,138011,123683,345229,2371901,77220,67888,172368,2155038,60791,55795,172861
2018-19,Uttarakhand,222593,43914,22125,32235,119192,24635,12376,15944,103401,19279,9749,16291
2018-19,West Bengal,1614437,1099029,101614,109091,831344,564258,53621,55986,783093,534771,47993,53105
2019-20,India,21198140,5229038,2079966,3508905,11030874,2764673,1114604,1754188,10167266,2464365,965362,1754717
2019-20,Andaman and Nicobar Islands,5202,2888,1120,455,2638,1439,589,244,2564,1449,531,211
2019-20,Andhra Pradesh,791870,75675,565784,150411,414182,42062,293043,79077,377688,33613,272741,71334
2019-20,Arunachal Pradesh,30971,6591,3594,3558,15852,3485,1900,1758,15119,3106,1694,1800
2019-20,Assam,729193,260792,45114,139218,372522,134285,23422,69688,356671,126507,21692,69530
2019-20,Bihar,2040670,100376,46657,255699,1055969,57604,27123,126835,984701,42772,19534,128864
2019-20,Chandigarh,15759,9261,2999,1014,8221,4812,1618,482,7538,4449,1381,532
2019-20,Chhattisgarh,472933,93883,18623,209837,242017,50027,10279,104893,230916,43856,8344,104944
2019-20,Dadra and Nagar Haveli,8892,1627,1475,2330,4567,918,817,1134,4325,709,658,1196
2019-20,Daman and Diu,4104,1307,1163,617,2130,710,582,306,1974,597,581,311
2019-20,Delhi,327883,152059,144831,30993,172571,77376,79077,16118,155312,74683,65754,14875
2019-20,Goa,23341,9982,4144,2618,12045,5145,2299,1336,11296,4837,1845,1282
2019-20,Gujarat,1098394,171820,83101,422979,580484,95872,47054,215828,517910,75948,36047,207151
2019-20,Haryana,485923,143909,59549,62335,265900,81319,33831,31666,220023,62590,25718,30669
2019-20,Himachal Pradesh,96808,29376,5361,10197,50627,15738,2881,5111,46181,13638,2480,5086
2019-20,Jammu and Kashmir,214955,97660,11327,5246,111798,50503,6097,2576,103157,47157,5230,2670
2019-20,Jharkhand,532355,126821,30868,101286,275759,68284,17273,49679,256596,58537,13595,51607
2019-20,Karnataka,1037197,27720,10223,10409,536953,14976,5189,5214,500244,12744,5034,5195
2019-20,Kerala,449474,228102,70086,32350,230411,117359,36026,16629,219063,110743,34060,15721
2019-20,Ladakh,3845,2388,161,142,1992,1248,96,71,1853,1140,65,71
2019-20,Lakshadweep,1012,157,823,19,551,85,454,12,461,72,369,7
2019-20,Madhya Pradesh,1125548,192637,40399,251096,585139,105762,22493,123876,540409,86875,17906,127220
2019-20,Maharashtra,1783818,394552,228864,568225,932160,211584,124711,284848,851658,182968,104153,283377
2019-20,Manipur,74484,24122,14828,13521,38092,12431,7809,6866,36392,11691,7019,6655
2019-20,Meghalaya,126327,76918,7364,3512,64716,39266,3933,1834,61611,37652,3431,1678
2019-20,Mizoram,29099,12464,2385,7641,15167,6445,1188,4063,13932,6019,1197,3578
2019-20,Nagaland,33935,22341,2645,95,17496,11555,1409,39,16439,10786,1236,56
2019-20,Odisha,600030,600030,0,0,307892,307892,0,0,292138,292138,0,0
2019-20,Puducherry,17462,11046,3420,159,8742,5504,1596,91,8720,5542,1824,68
2019-20,Punjab,485022,157964,38625,25198,261375,85047,21024,12789,223647,72917,17601,12409
2019-20,Rajasthan,1524193,185517,98333,201925,801580,103610,54773,98179,722613,81907,43560,103746
2019-20,Sikkim,5486,2745,985,229,2939,1443,563,127,2547,1302,422,102
2019-20,Tamil Nadu,1009625,524170,166026,265939,523424,277831,86136,131628,486201,246339,79890,134311
2019-20,Telangana,605370,205946,108895,143753,315350,109860,58251,70670,290020,96086,50644,73083
2019-20,Tripura,59321,5785,3791,19294,30175,3116,2030,9412,29146,2669,1761,9882
2019-20,Uttar Pradesh,3734133,181519,141508,440306,1937807,100626,78024,217216,1796326,80893,63484,223090
2019-20,Uttarakhand,197253,39947,22732,33550,104991,22343,12606,16590,92262,17604,10126,16960
2019-20,West Bengal,1416253,1048941,92163,92749,726640,537111,48408,47303,689613,511830,43755,45446
2020-21,India,19344199,4790694,1541003,3532904,10087384,2517042,820334,1792839,9256815,2273652,720669,1740065
2020-21,Andaman and Nicobar Islands,3451,2255,792,100,1728,1159,399,42,1723,1096,393,58
2020-21,Andhra Pradesh,716314,140595,92421,283525,373162,61010,47799,140257,343152,79585,44622,143268
2020-21,Arunachal Pradesh,31310,5523,4297,2523,15921,2840,2272,1209,15389,2683,2025,1314
2020-21,Assam,710236,233255,48069,136280,361517,119598,24814,68260,348719,113657,23255,68020
2020-21,Bihar,2255644,77275,35178,227749,1184386,44551,20289,117061,1071258,32724,14889,110688
2020-21,Chandigarh,14143,9409,2215,507,7446,4924,1167,273,6697,4485,1048,234
2020-21,Chhattisgarh,438820,82550,12517,188309,224416,44148,6615,94383,214404,38402,5902,93926
2020-21,Daman and Diu and Dadra and Nagar Haveli,10078,2212,1239,2057,5236,1225,708,983,4842,987,531,1074
2020-21,Delhi,281358,157263,104400,18868,146937,79005,57431,10039,134421,78258,46969,8829
2020-21,Goa,21071,9088,3684,2566,10723,4596,1881,1290,10348,4492,1803,1276
2020-21,Gujarat,919692,137103,62877,379153,484450,76500,35526,193316,435242,60603,27351,185837
2020-21,Haryana,406253,113121,40612,55957,221103,63850,22851,28367,185150,49271,17761,27590
2020-21,Himachal Pradesh,84336,30304,4320,9209,44034,16259,2281,4601,40302,14045,2039,4608
2020-21,Jammu and Kashmir,200948,91167,11046,4766,104528,47166,6059,2387,96420,44001,4987,2379
2020-21,Jharkhand,486447,99726,23393,146201,251725,53911,13044,82987,234722,45815,10349,63214
2020-21,Karnataka,866997,49741,12172,41952,444538,26463,6360,20815,422459,23278,5812,21137
2020-21,Kerala,455832,268684,75443,34142,233253,137331,38773,17813,222579,131353,36670,16329
2020-21,Ladakh,3223,1603,151,79,1586,803,76,39,1637,800,75,40
2020-21,Lakshadweep,1133,118,900,0,581,65,457,0,552,53,443,0
2020-21,Madhya Pradesh,881902,182904,20053,209153,459405,100707,10949,104422,422497,82197,9104,104731
2020-21,Maharashtra,1645850,373601,168271,602513,852861,197391,89798,304815,792989,176210,78473,297698
2020-21,Manipur,71915,25217,14838,13436,36802,13149,7755,6812,35113,12068,7083,6624
2020-21,Meghalaya,124387,97316,19580,3325,63866,49856,10176,1751,60521,47460,9404,1574
2020-21,Mizoram,31619,12867,3591,8724,16554,6739,1875,4598,15065,6128,1716,4126
2020-21,Nagaland,31498,20746,2271,54,16100,10612,1192,32,15398,10134,1079,22
2020-21,Odisha,613351,65148,334062,215283,314628,36506,171441,107301,298723,28642,162621,107982
2020-21,Puducherry,15957,10106,2954,106,8051,5059,1573,50,7906,5047,1381,56
2020-21,Punjab,423371,370919,52452,0,228105,200732,27373,0,195266,170187,25079,0
2020-21,Rajasthan,1222319,160453,68349,183062,645398,90177,37547,91041,576921,70276,30802,92021
2020-21,Sikkim,5845,3082,607,198,3071,1563,338,112,2774,1519,269,86
2020-21,Tamil Nadu,990765,755116,4,78704,513506,394013,1,39606,477259,361103,3,39098
2020-21,Telangana,479174,2771,75787,115815,251143,1492,40204,57924,228031,1279,35583,57891
2020-21,Tripura,51798,6709,4074,19379,26265,3504,2068,9494,25533,3205,2006,9885
2020-21,Uttar Pradesh,3205320,150683,111055,431252,1684381,84316,60807,219281,1520939,66367,50248,211971
2020-21,Uttarakhand,159557,36118,20406,32034,85451,20143,11478,16095,74106,15975,8928,15939
2020-21,West Bengal,1482285,1005946,106923,85923,764527,515679,56957,45383,717758,490267,49966,40540
2021-22,India,19097256,4348419,1476371,4357390,9973180,2285734,784821,2239766,9124076,2062685,691550,2117624
2021-22,Andaman and Nicobar Islands,3629,1777,1034,212,1881,916,542,110,1748,861,492,102
2021-22,Andhra Pradesh,444901,55914,39985,189091,231294,30182,21222,96055,213607,25732,18763,93036
2021-22,Arunachal Pradesh,27980,5849,3032,2946,14348,3051,1561,1486,13632,2798,1471,1460
2021-22,Assam,674233,193621,45114,137592,343682,99481,23093,69614,330551,94140,22021,67978
2021-22,Bihar,2105313,71379,57840,212712,1097724,40710,32437,108812,1007589,30669,25403,103900
2021-22,Chandigarh,16250,9456,2947,861,8563,5023,1569,457,7687,4433,1378,404
2021-22,Chhattisgarh,453015,73612,18542,198993,232988,39115,9791,101243,220027,34497,8751,97750
2021-22,Daman and Diu and Dadra and Nagar Haveli,10748,2244,1364,2079,5623,1234,735,1014,5125,1010,629,1065
2021-22,Delhi,280484,149198,104044,19053,146061,73314,56018,11039,134423,75884,48026,8014
2021-22,Goa,21925,9189,4344,2785,11446,4639,2461,1428,10479,4550,1883,1357
2021-22,Gujarat,993537,105386,62215,392718,524302,58461,33947,203484,469235,46925,28268,189234
2021-22,Haryana,430441,87968,45171,61611,234089,49671,25432,31852,196352,38297,19739,29759
2021-22,Himachal Pradesh,85221,27088,4369,10598,44484,14377,2407,5414,40737,12711,1962,5184
2021-22,Jammu and Kashmir,209794,92901,14990,7335,108281,47525,8082,3711,101513,45376,6908,3624
2021-22,Jharkhand,460952,66055,28789,122904,240125,35650,15843,62515,220827,30405,12946,60389
2021-22,Karnataka,1149186,128583,13361,953342,600500,68411,7017,496214,548686,60172,6344,457128
2021-22,Kerala,463135,236629,62505,36156,238022,121261,32172,18824,225113,115368,30333,17332
2021-22,Ladakh,3595,1645,139,29,1804,805,79,17,1791,840,60,12
2021-22,Lakshadweep,1031,182,299,46,529,100,150,21,502,82,149,25
2021-22,Madhya Pradesh,1042824,202435,42184,256183,544303,110444,22739,130566,498521,91991,19445,125617
2021-22,Maharashtra,1769213,326266,179565,646974,919953,171498,95980,331632,849260,154768,83585,315342
2021-22,Manipur,64205,19679,12737,11362,33153,10162,6795,5798,31052,9517,5942,5564
2021-22,Meghalaya,115554,92258,13256,5139,59035,47337,6781,2648,56519,44921,6475,2491
2021-22,Mizoram,32791,10831,2753,9474,16989,5507,1414,4962,15802,5324,1339,4512
2021-22,Nagaland,30889,19340,2169,0,15822,9891,1135,0,15067,9449,1034,0
2021-22,Odisha,460627,31830,11156,181423,238634,17641,5994,92555,221993,14189,5162,88868
2021-22,Puducherry,14507,8362,3430,324,7130,4127,1781,176,7377,4235,1649,148
2021-22,Punjab,354189,187066,46282,20418,188880,99364,25037,10491,165309,87702,21245,9927
2021-22,Rajasthan,1256490,129917,65447,190573,666114,72636,36095,97309,590376,57281,29352,93264
2021-22,Sikkim,6297,3004,899,137,3315,1609,466,75,2982,1395,433,62
2021-22,Tamil Nadu,853571,519336,266642,67593,441692,274868,134054,32769,411879,244468,132588,34824
2021-22,Telangana,131310,122,43365,4687,69709,64,23031,2518,61601,58,20334,2169
2021-22,Tripura,46054,5504,2866,16204,23562,2932,1501,8069,22492,2572,1365,8135
2021-22,Uttar Pradesh,3323876,153495,153052,517169,1751785,85091,83393,266404,1572091,68404,69659,250765
2021-22,Uttarakhand,173902,30459,19295,32657,92530,17102,10573,16710,81372,13357,8722,15947
2021-22,West Bengal,1585587,1289839,101189,46010,814828,661535,53494,23774,770759,628304,47695,22236