Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2020-21,India,772675,162767,46325,26356,416648,90027,25807,13715,356027,72740,20518,12641
2020-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Andhra Pradesh,2084,696,327,564,1042,287,140,242,1042,409,187,322
2020-21,Arunachal Pradesh,647,338,21,24,366,193,10,11,281,145,11,13
2020-21,Assam,51132,13526,2923,8480,26022,6857,1532,4258,25110,6669,1391,4222
2020-21,Bihar,228730,20376,7403,5493,127398,12079,4339,2871,101332,8297,3064,2622
2020-21,Chandigarh,816,556,25,0,475,319,16,0,341,237,9,0
2020-21,Chhattisgarh,1772,30,375,283,969,16,223,156,803,14,152,127
2020-21,Daman and Diu and Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Delhi,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Goa,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Gujarat,24,0,0,24,0,0,0,0,24,0,0,24
2020-21,Haryana,15160,5533,1239,417,8517,3079,709,238,6643,2454,530,179
2020-21,Himachal Pradesh,2,0,0,0,1,0,0,0,1,0,0,0
2020-21,Jammu and Kashmir,1302,544,111,25,725,282,65,11,577,262,46,14
2020-21,Jharkhand,91989,41394,8812,3220,52823,23930,5131,1845,39166,17464,3681,1375
2020-21,Karnataka,41,14,0,0,27,9,0,0,14,5,0,0
2020-21,Kerala,18963,11851,2149,274,9999,6258,1111,150,8964,5593,1038,124
2020-21,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,8734,470,476,518,4417,217,247,269,4317,253,229,249
2020-21,Maharashtra,15829,5963,1634,316,8481,3181,818,160,7348,2782,816,156
2020-21,Manipur,2935,1620,404,172,1527,837,226,87,1408,783,178,85
2020-21,Meghalaya,4669,4281,313,33,2386,2185,164,20,2283,2096,149,13
2020-21,Mizoram,468,390,18,13,242,199,12,12,226,191,6,1
2020-21,Nagaland,10,8,2,0,5,4,1,0,5,4,1,0
2020-21,Odisha,16086,7242,8884,16,9209,4176,5058,8,6877,3066,3826,8
2020-21,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,13,8,5,0,7,4,3,0,6,4,2,0
2020-21,Rajasthan,18223,1496,816,801,9335,774,411,398,8888,722,405,403
2020-21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,9644,7911,0,0,5178,4239,0,0,4466,3672,0,0
2020-21,Telangana,183,3,47,20,90,0,25,13,93,3,22,7
2020-21,Tripura,2298,426,165,487,1308,233,96,271,990,193,69,216
2020-21,Uttar Pradesh,228022,7884,6419,3462,117211,3924,3387,1778,110811,3960,3032,1684
2020-21,Uttarakhand,8787,678,1011,912,4722,370,546,487,4065,308,465,425
2020-21,West Bengal,44112,29529,2746,802,24166,16375,1537,430,19946,13154,1209,372
2021-22,India,734338,126446,50466,21279,394501,69317,27773,11289,339837,57129,22693,9990
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,859,228,105,58,430,115,54,17,429,113,51,41
2021-22,Arunachal Pradesh,501,292,20,26,286,164,12,16,215,128,8,10
2021-22,Assam,35920,7745,2034,4928,18088,3867,1027,2478,17832,3878,1007,2450
2021-22,Bihar,221105,18943,10474,4062,122540,11004,6023,2208,98565,7939,4451,1854
2021-22,Chandigarh,700,540,45,2,389,304,24,1,311,236,21,1
2021-22,Chhattisgarh,1411,32,173,190,793,15,93,117,618,17,80,73
2021-22,Daman and Diu and Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Delhi,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,99,0,0,0,54,0,0,0,45,0,0,0
2021-22,Haryana,14617,5092,1792,393,8500,2957,1024,229,6117,2135,768,164
2021-22,Himachal Pradesh,5,0,0,0,3,0,0,0,2,0,0,0
2021-22,Jammu and Kashmir,901,362,45,43,531,217,37,21,370,145,8,22
2021-22,Jharkhand,84494,29177,12226,3892,47969,16502,7091,2224,36525,12675,5135,1668
2021-22,Karnataka,62,15,20,25,50,8,20,20,12,7,0,5
2021-22,Kerala,15236,8536,1179,163,8032,4456,646,87,7204,4080,533,76
2021-22,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,9118,688,826,520,4568,350,414,265,4550,338,412,255
2021-22,Maharashtra,11620,4274,1291,135,6181,2234,669,61,5439,2040,622,74
2021-22,Manipur,2224,1233,503,48,1155,642,262,31,1069,591,241,17
2021-22,Meghalaya,4314,3931,296,13,2203,2023,146,5,2111,1908,150,8
2021-22,Mizoram,617,382,29,28,312,197,17,14,305,185,12,14
2021-22,Nagaland,10,6,4,0,5,3,2,0,5,3,2,0
2021-22,Odisha,9505,3305,868,689,5386,1907,441,395,4119,1398,427,294
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,62,0,20,0,56,0,20,0,6,0,0,0
2021-22,Rajasthan,26707,992,1203,936,13694,511,648,474,13013,481,555,462
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,6565,5931,524,110,3501,3138,306,57,3064,2793,218,53
2021-22,Telangana,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tripura,2102,393,36,527,1172,221,24,284,930,172,12,243
2021-22,Uttar Pradesh,243550,9137,11264,3298,126154,4877,5915,1672,117396,4260,5349,1626
2021-22,Uttarakhand,9314,246,1942,842,4899,135,1028,414,4415,111,914,428
2021-22,West Bengal,32720,24966,3547,351,17550,13470,1830,199,15170,11496,1717,152