Year,State,Total,Primary,Upper Primary,Secondary,Higher Secondary
2018-19,India,1551000,826982,443392,150604,130022
2018-19,Andaman and Nicobar Islands,414,217,81,50,66
2018-19,Andhra Pradesh,63621,39499,9427,12513,2182
2018-19,Arunachal Pradesh,3793,2031,1299,302,161
2018-19,Assam,66324,44519,12008,7568,2229
2018-19,Bihar,89224,42733,37894,3666,4931
2018-19,Chandigarh,229,20,41,72,96
2018-19,Chhattisgarh,56274,32811,16370,2702,4391
2018-19,Dadra and Nagar Haveli,346,168,131,23,24
2018-19,Daman and Diu,140,50,42,24,24
2018-19,Delhi,5703,2695,872,367,1769
2018-19,Goa,1486,907,61,404,114
2018-19,Gujarat,54581,12282,30065,4846,7388
2018-19,Haryana,23534,9885,5500,3176,4973
2018-19,Himachal Pradesh,18212,11252,2771,1726,2463
2018-19,Jammu and Kashmir,28654,14652,9689,3091,1222
2018-19,Jharkhand,45908,24453,16529,3351,1575
2018-19,Karnataka,78233,25554,31802,15388,5489
2018-19,Kerala,16701,7132,4680,1927,2962
2018-19,Ladakh,1054,454,447,109,44
2018-19,Lakshadweep,45,15,15,2,13
2018-19,Madhya Pradesh,154064,86975,49622,8262,9205
2018-19,Maharashtra,109942,52574,29922,17404,10042
2018-19,Manipur,4844,2600,1084,914,246
2018-19,Meghalaya,14669,9348,3553,1418,350
2018-19,Mizoram,3913,1504,1540,683,186
2018-19,Nagaland,2752,1190,800,577,185
2018-19,Odisha,68717,34954,21850,9514,2399
2018-19,Puducherry,739,280,83,197,179
2018-19,Punjab,28637,13872,5122,4484,5159
2018-19,Rajasthan,105883,38766,36463,10587,20067
2018-19,Sikkim,1290,722,314,146,108
2018-19,Tamil Nadu,59152,35970,9411,5828,7943
2018-19,Telangana,42355,20753,7356,11847,2399
2018-19,Tripura,4945,2578,1245,669,453
2018-19,Uttar Pradesh,273235,161366,80624,12083,19162
2018-19,Uttarakhand,23559,14338,5430,1341,2450
2018-19,West Bengal,97828,77863,9249,3343,7373
2019-20,India,1507708,778842,443643,151489,133734
2019-20,Andaman and Nicobar Islands,418,222,76,53,67
2019-20,Andhra Pradesh,63824,39388,9282,12352,2802
2019-20,Arunachal Pradesh,3666,1924,1276,309,157
2019-20,Assam,65907,44175,11915,7567,2250
2019-20,Bihar,90275,42712,38411,3843,5309
2019-20,Chandigarh,229,20,41,71,97
2019-20,Chhattisgarh,56303,32715,16393,2726,4469
2019-20,Dadra and Nagar Haveli,346,166,133,23,24
2019-20,Daman and Diu,137,49,40,23,25
2019-20,Delhi,5669,2660,867,359,1783
2019-20,Goa,1482,901,60,407,114
2019-20,Gujarat,54629,12468,29716,4842,7603
2019-20,Haryana,23699,9813,5503,3115,5268
2019-20,Himachal Pradesh,18185,11195,2747,1739,2504
2019-20,Jammu and Kashmir,28863,14792,9689,3132,1250
2019-20,Jharkhand,45596,24207,16443,3333,1613
2019-20,Karnataka,77166,24821,31270,15238,5837
2019-20,Kerala,16665,7070,4691,1944,2960
2019-20,Ladakh,1054,454,445,109,46
2019-20,Lakshadweep,45,15,15,2,13
2019-20,Madhya Pradesh,133379,68208,47623,8296,9252
2019-20,Maharashtra,110229,52094,30042,17634,10459
2019-20,Manipur,4663,2431,1046,939,247
2019-20,Meghalaya,14730,9354,3566,1448,362
2019-20,Mizoram,3924,1500,1530,697,197
2019-20,Nagaland,2758,1187,800,582,189
2019-20,Odisha,67020,33340,21719,9515,2446
2019-20,Puducherry,741,277,80,194,190
2019-20,Punjab,28775,13877,5223,4474,5201
2019-20,Rajasthan,106240,38792,36414,10849,20185
2019-20,Sikkim,1277,700,310,150,117
2019-20,Tamil Nadu,58897,35621,9392,5788,8096
2019-20,Telangana,42575,20752,7471,11921,2431
2019-20,Tripura,4940,2562,1241,672,465
2019-20,Uttar Pradesh,254352,138088,83855,12501,19908
2019-20,Uttarakhand,23295,14006,5453,1355,2481
2019-20,West Bengal,95755,76286,8865,3287,7317
2020-21,India,1509136,774742,442928,151946,139520
2020-21,Andaman and Nicobar Islands,417,221,75,53,68
2020-21,Andhra Pradesh,63343,39000,9160,12114,3069
2020-21,Arunachal Pradesh,3675,1923,1276,317,159
2020-21,Assam,65203,43591,11789,7556,2267
2020-21,Bihar,93459,42673,38452,3870,8464
2020-21,Chandigarh,230,20,41,72,97
2020-21,Chhattisgarh,56494,32766,16453,2732,4543
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,214,166,48,51
2020-21,Delhi,5642,2629,856,357,1800
2020-21,Goa,1481,895,60,411,115
2020-21,Gujarat,54444,13639,28096,4822,7887
2020-21,Haryana,23764,9774,5468,3075,5447
2020-21,Himachal Pradesh,18145,11164,2722,1733,2526
2020-21,Jammu and Kashmir,28930,14856,9669,3144,1261
2020-21,Jharkhand,45319,23997,16361,3334,1627
2020-21,Karnataka,76905,24737,31100,15295,5773
2020-21,Kerala,16481,6959,4601,1948,2973
2020-21,Ladakh,1056,454,441,112,49
2020-21,Lakshadweep,45,20,10,2,13
2020-21,Madhya Pradesh,133271,67968,47399,8470,9434
2020-21,Maharashtra,110114,51639,29970,17727,10778
2020-21,Manipur,4653,2426,1013,961,253
2020-21,Meghalaya,14694,9313,3554,1452,375
2020-21,Mizoram,3925,1496,1529,702,198
2020-21,Nagaland,2719,1156,785,581,197
2020-21,Odisha,64185,30377,21839,9519,2450
2020-21,Puducherry,741,275,81,194,191
2020-21,Punjab,28695,13813,5229,4386,5267
2020-21,Rajasthan,107376,39575,36338,10903,20560
2020-21,Sikkim,1263,687,310,149,117
2020-21,Tamil Nadu,58904,35580,9433,5768,8123
2020-21,Telangana,42917,20725,7638,12029,2525
2020-21,Tripura,4934,2547,1230,688,469
2020-21,Uttar Pradesh,256911,138145,85570,12727,20469
2020-21,Uttarakhand,23169,13756,5483,1389,2541
2020-21,West Bengal,95153,75732,8731,3306,7384
2021-22,India,1489115,760460,435805,150452,142398
2021-22,Andaman and Nicobar Islands,416,218,76,53,69
2021-22,Andhra Pradesh,61948,38430,8477,11877,3164
2021-22,Arunachal Pradesh,3603,1847,1273,319,164
2021-22,Assam,60859,40482,10672,7290,2415
2021-22,Bihar,93165,42505,38185,3855,8620
2021-22,Chandigarh,233,21,39,71,102
2021-22,Chhattisgarh,56512,32723,16442,2737,4610
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,184,177,45,54
2021-22,Delhi,5619,2594,826,357,1842
2021-22,Goa,1510,892,75,420,123
2021-22,Gujarat,53851,13827,27260,4638,8126
2021-22,Haryana,23726,9716,5423,3009,5578
2021-22,Himachal Pradesh,18028,11085,2677,1728,2538
2021-22,Jammu and Kashmir,28805,14824,9565,3150,1266
2021-22,Jharkhand,44855,23706,16201,3191,1757
2021-22,Karnataka,76450,24470,30924,15385,5671
2021-22,Kerala,16240,6812,4515,1941,2972
2021-22,Ladakh,978,379,437,112,50
2021-22,Lakshadweep,38,16,9,0,13
2021-22,Madhya Pradesh,125582,62413,45106,8306,9757
2021-22,Maharashtra,109605,51152,29841,17741,10871
2021-22,Manipur,4617,2422,966,958,271
2021-22,Meghalaya,14600,9223,3529,1462,386
2021-22,Mizoram,3911,1481,1519,706,205
2021-22,Nagaland,2718,1157,787,576,198
2021-22,Odisha,62291,29326,21049,9497,2419
2021-22,Puducherry,736,275,74,190,197
2021-22,Punjab,27701,13536,4642,4186,5337
2021-22,Rajasthan,106373,38983,35984,10775,20631
2021-22,Sikkim,1259,685,307,150,117
2021-22,Tamil Nadu,58801,35062,9243,5499,8997
2021-22,Telangana,43083,20711,7688,12045,2639
2021-22,Tripura,4929,2522,1226,702,479
2021-22,Uttar Pradesh,258054,138078,86430,12783,20763
2021-22,Uttarakhand,22815,13404,5426,1407,2578
2021-22,West Bengal,94744,75299,8735,3291,7419
