Year,State,Number of Teachers - Total,Number of Teachers - Primary (1-5),Number of Teachers - Upper Primary (1-8),Number of Teachers - Upper Primary (6-8),Number of Teachers -  Secondary (1-10),Number of Teachers - Secondary (6-10),Number of Teachers - Secondary (9-10),Number of Teachers - Higher Secondary (1-12),Number of Teachers - Higher Secondary (6-12),Number of Teachers - Higher Secondary (9-12),Number of Teachers - Higher Secondary (11-12)
2018-19,India,3304373,517150,867400,74750,616811,82158,61526,870529,75760,72117,66172
2018-19,Andaman and Nicobar Islands,1121,224,317,0,122,0,0,458,0,0,0
2018-19,Andhra Pradesh,118989,27045,26664,3,20240,33916,70,0,0,0,11051
2018-19,Arunachal Pradesh,5517,1131,2707,0,1323,0,0,307,0,40,9
2018-19,Assam,87452,9244,21855,526,41554,632,1412,7248,372,510,4099
2018-19,Bihar,81740,5015,49641,78,5365,525,4763,9144,162,1566,5481
2018-19,Chandigarh,4048,132,206,0,663,0,0,2990,57,0,0
2018-19,Chhattisgarh,87279,10795,29681,452,10599,207,288,32713,814,1713,17
2018-19,Dadra and Nagar Haveli,1013,68,255,0,190,0,0,500,0,0,0
2018-19,Daman and Diu,525,84,18,0,153,0,0,270,0,0,0
2018-19,Delhi,68217,7214,11785,38,6161,82,0,42521,345,71,0
2018-19,Goa,1913,962,68,10,351,26,0,455,0,0,41
2018-19,Gujarat,144732,7981,66092,1468,11990,108,3520,38419,803,11083,3268
2018-19,Haryana,133667,4814,24373,25,25261,241,6,77857,1026,32,32
2018-19,Himachal Pradesh,34077,2921,6876,0,10215,0,16,13701,157,108,83
2018-19,Jammu and Kashmir,66031,9933,21262,0,22901,0,7,11756,20,136,16
2018-19,Jharkhand,26281,207,2049,63,6223,2869,751,11460,106,36,2517
2018-19,Karnataka,169034,11969,54822,685,60330,727,21553,4962,187,1948,11851
2018-19,Kerala,65069,4074,6946,104,19099,197,163,32693,918,472,403
2018-19,Ladakh,1446,160,516,0,596,13,0,161,0,0,0
2018-19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2018-19,Madhya Pradesh,244502,14056,127064,235,34217,252,796,63777,1155,2902,48
2018-19,Maharashtra,207356,32343,53476,390,52532,11892,3340,34304,4261,1082,13736
2018-19,Manipur,21517,483,5080,44,10657,67,88,3723,108,90,1177
2018-19,Meghalaya,12029,4430,1390,611,1551,221,2055,656,23,220,872
2018-19,Mizoram,8081,1123,4470,401,0,0,1253,0,0,0,834
2018-19,Nagaland,12129,959,1913,0,5299,10,0,3708,28,0,212
2018-19,Odisha,63383,8189,33957,422,10816,1709,857,5484,85,0,1864
2018-19,Puducherry,7058,379,504,0,1927,0,0,4169,43,0,36
2018-19,Punjab,145192,5138,21417,0,40653,48,4,75242,402,626,1662
2018-19,Rajasthan,359629,17301,118230,64,73286,571,62,144562,4515,1018,20
2018-19,Sikkim,3814,1496,1463,0,482,0,0,373,0,0,0
2018-19,Tamil Nadu,255800,53006,9765,38,41189,1309,0,143204,7059,31,199
2018-19,Telangana,112276,3681,24790,0,73294,2133,0,2016,2,0,6360
2018-19,Tripura,5628,1298,1395,0,1562,11,0,1362,0,0,0
2018-19,Uttar Pradesh,580237,184421,101265,63357,17105,22777,20352,72270,50373,48127,190
2018-19,Uttarakhand,54667,12573,20140,1496,3234,493,170,14660,1560,297,44
2018-19,West Bengal,112924,72301,14948,4240,5671,1122,0,13404,1179,9,50
2019-20,India,3602625,513154,932791,75450,687710,85320,54517,994561,85293,76583,97246
2019-20,Andaman and Nicobar Islands,1151,233,263,0,165,0,0,490,0,0,0
2019-20,Andhra Pradesh,124475,27234,25865,12,21874,34781,67,965,30,25,13622
2019-20,Arunachal Pradesh,6049,1119,2916,0,1528,0,0,454,0,32,0
2019-20,Assam,89835,8588,21983,482,43281,674,1312,8218,499,526,4272
2019-20,Bihar,111352,5371,60658,81,10208,526,4468,21878,271,1603,6288
2019-20,Chandigarh,4146,134,215,0,603,0,0,3140,54,0,0
2019-20,Chhattisgarh,88175,10958,29445,442,11097,118,211,33580,723,1586,15
2019-20,Dadra and Nagar Haveli,1080,86,276,0,210,0,0,508,0,0,0
2019-20,Daman and Diu,540,89,21,0,156,0,0,274,0,0,0
2019-20,Delhi,70813,7331,12215,39,6361,81,0,44349,352,85,0
2019-20,Goa,1960,945,82,4,380,31,0,483,0,0,35
2019-20,Gujarat,149213,7463,66987,1464,12790,89,3553,41132,782,11481,3472
2019-20,Haryana,147390,5099,25618,18,26285,208,6,88916,1173,43,24
2019-20,Himachal Pradesh,35936,2986,7138,0,10493,0,15,14910,186,119,89
2019-20,Jammu and Kashmir,69632,10916,21410,0,24478,0,7,12599,59,133,30
2019-20,Jharkhand,34034,156,2472,52,9042,2875,716,15569,124,29,2999
2019-20,Karnataka,193665,14549,50617,610,72527,665,14342,17029,268,1156,21902
2019-20,Kerala,72644,4158,7339,116,22034,229,164,36771,968,481,384
2019-20,Ladakh,1525,186,556,0,591,11,0,181,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,284594,15585,142268,215,39354,255,880,81253,1335,3384,65
2019-20,Maharashtra,223238,32671,55373,381,59258,11561,3402,40512,4577,1235,14268
2019-20,Manipur,21740,514,4821,43,11059,54,79,3862,100,96,1112
2019-20,Meghalaya,12435,4379,1593,572,1661,223,2007,853,70,213,864
2019-20,Mizoram,7906,1154,4214,361,79,7,1206,0,0,11,874
2019-20,Nagaland,12346,881,1920,0,5313,10,0,3980,19,0,223
2019-20,Odisha,74993,9222,39782,388,12972,1413,821,6299,71,0,4025
2019-20,Puducherry,7613,399,517,0,1912,0,0,4717,43,0,25
2019-20,Punjab,150098,5219,22012,6,41198,42,0,78919,395,579,1728
2019-20,Rajasthan,371552,17450,120133,67,77590,553,60,150093,4497,1088,21
2019-20,Sikkim,3848,1521,1422,0,507,0,0,398,0,0,0
2019-20,Tamil Nadu,253295,50268,9380,27,39171,1215,0,146446,6529,88,171
2019-20,Telangana,148814,3820,28707,0,91091,2207,0,2562,0,0,20427
2019-20,Tripura,5906,1287,1349,0,1624,10,0,1636,0,0,0
2019-20,Uttar Pradesh,683038,201180,132288,65854,22061,26175,21043,102228,59717,52295,197
2019-20,Uttarakhand,55916,11292,20889,1189,3883,422,158,16114,1646,284,39
2019-20,West Bengal,81678,48711,10047,3027,4874,885,0,13243,805,11,75
2020-21,India,3647674,510641,929701,76376,713621,84870,52214,1015033,86237,76638,102343
2020-21,Andaman and Nicobar Islands,1075,212,243,0,136,0,0,484,0,0,0
2020-21,Andhra Pradesh,127549,26528,25384,620,22459,33656,0,200,0,0,18702
2020-21,Arunachal Pradesh,5967,1093,2800,0,1475,0,0,567,0,32,0
2020-21,Assam,89762,8138,21223,456,43351,685,1333,8996,498,582,4500
2020-21,Bihar,113864,5249,61091,70,11007,522,4358,23015,255,1612,6685
2020-21,Chandigarh,3952,116,183,0,609,0,0,2990,54,0,0
2020-21,Chhattisgarh,85636,10318,28033,416,10960,96,191,33500,638,1469,15
2020-21,Daman and Diu and Dadra and Nagar Haveli,1453,155,165,0,380,0,0,753,0,0,0
2020-21,Delhi,64761,6628,11016,33,5740,71,0,40868,329,76,0
2020-21,Goa,1893,855,90,10,400,34,0,470,0,0,34
2020-21,Gujarat,144525,6570,62133,1305,11377,128,3357,43965,753,11678,3259
2020-21,Haryana,137915,4667,23429,33,23680,190,0,84849,1014,30,23
2020-21,Himachal Pradesh,34609,2741,6666,0,10176,0,8,14629,184,134,71
2020-21,Jammu and Kashmir,69689,11255,20919,0,24427,0,7,12851,54,146,30
2020-21,Jharkhand,35115,160,2315,47,9208,2959,788,16396,129,29,3084
2020-21,Karnataka,200527,14692,48942,548,78262,650,12547,18069,257,1017,25543
2020-21,Kerala,72414,3816,6991,121,21968,225,153,37309,974,451,406
2020-21,Ladakh,1586,184,576,0,604,16,0,206,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,291841,15275,141427,195,41780,264,855,87332,1336,3293,84
2020-21,Maharashtra,219168,30407,51538,353,58501,11055,3425,44024,4534,1268,14063
2020-21,Manipur,21937,480,4639,45,11284,55,76,3965,96,91,1206
2020-21,Meghalaya,12454,4325,1568,554,1734,208,1979,903,89,225,869
2020-21,Mizoram,7910,1162,4176,351,107,10,1228,0,0,11,865
2020-21,Nagaland,12415,875,1876,0,5221,10,0,4198,19,0,216
2020-21,Odisha,79933,9415,42227,517,14220,1158,744,7081,90,0,4481
2020-21,Puducherry,7143,312,396,0,1947,0,0,4430,33,0,25
2020-21,Punjab,150873,5803,23243,6,39273,63,9,79375,396,709,1996
2020-21,Rajasthan,350221,15597,113501,50,72463,438,54,143312,3848,939,19
2020-21,Sikkim,3753,1428,1440,0,479,0,0,406,0,0,0
2020-21,Tamil Nadu,259191,50778,10161,29,39260,1230,0,150933,6551,84,165
2020-21,Telangana,177712,4248,36190,0,115680,2751,0,3169,15,0,15659
2020-21,Tripura,6061,1330,1267,0,1730,10,0,1724,0,0,0
2020-21,Uttar Pradesh,705775,205026,141971,66388,23052,26943,20945,107526,61298,52421,205
2020-21,Uttarakhand,57176,9787,20648,1007,4540,398,157,18561,1692,332,54
2020-21,West Bengal,91819,51016,11234,3222,6131,1045,0,17977,1101,9,84
2021-22,India,3540647,483809,876867,74338,683539,82076,48624,1029908,84153,73941,103392
2021-22,Andaman and Nicobar Islands,1029,181,220,0,131,0,0,497,0,0,0
2021-22,Andhra Pradesh,122464,25227,24199,175,22484,32340,0,339,0,0,17700
2021-22,Arunachal Pradesh,5903,1057,2715,0,1444,0,0,655,0,32,0
2021-22,Assam,86582,6918,19393,399,42397,620,1083,10261,543,491,4477
2021-22,Bihar,109949,4878,58148,54,10411,495,4145,22786,246,1796,6990
2021-22,Chandigarh,3845,121,151,0,567,0,0,2953,53,0,0
2021-22,Chhattisgarh,78718,8937,25444,369,10117,89,168,31618,630,1331,15
2021-22,Daman and Diu and Dadra and Nagar Haveli,1384,127,185,0,252,0,0,820,0,0,0
2021-22,Delhi,62411,6149,10092,29,5406,64,0,40284,319,68,0
2021-22,Goa,1941,822,90,0,403,45,0,540,0,0,41
2021-22,Gujarat,138832,6077,57580,1198,10883,122,2854,44602,722,11709,3085
2021-22,Haryana,136825,4354,22978,38,22589,194,0,85592,1025,30,25
2021-22,Himachal Pradesh,32878,2339,5993,0,9911,0,0,14244,178,144,69
2021-22,Jammu and Kashmir,68031,10861,19603,0,24247,0,18,13078,51,143,30
2021-22,Jharkhand,34422,93,2454,27,8863,2844,755,16210,122,29,3025
2021-22,Karnataka,189512,13364,44562,401,75903,546,10962,17719,226,789,25040
2021-22,Kerala,67961,3484,6180,118,20715,217,147,35379,903,408,410
2021-22,Ladakh,1593,167,566,0,626,14,0,220,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,286418,13561,134475,176,38736,262,731,94065,1311,3031,70
2021-22,Maharashtra,215300,28294,49463,337,57555,10778,3446,45839,4572,1294,13722
2021-22,Manipur,20784,464,4004,42,10822,52,74,3904,120,84,1218
2021-22,Meghalaya,12209,4123,1504,506,1780,199,1893,932,76,241,955
2021-22,Mizoram,7375,1026,3851,343,139,7,1155,0,0,0,854
2021-22,Nagaland,12339,1005,1752,0,5084,8,0,4287,8,0,195
2021-22,Odisha,78872,7784,38491,444,13859,1192,862,7977,96,0,8167
2021-22,Puducherry,6762,290,301,0,1766,0,0,4353,24,0,28
2021-22,Punjab,130629,4039,17326,6,33235,45,7,73609,330,530,1502
2021-22,Rajasthan,326490,13286,103135,49,67840,394,47,137488,3383,849,19
2021-22,Sikkim,3523,1320,1292,0,481,0,0,430,0,0,0
2021-22,Tamil Nadu,258225,47482,6526,29,31787,1148,0,164547,6498,43,165
2021-22,Telangana,176885,3665,34058,0,117632,2464,0,3786,15,0,15265
2021-22,Tripura,6191,1267,1021,0,1911,10,0,1982,0,0,0
2021-22,Uttar Pradesh,703949,202302,146656,65186,22204,26503,20126,110310,59922,50544,196
2021-22,Uttarakhand,56329,8326,20239,900,4695,323,151,19584,1717,346,48
2021-22,West Bengal,94087,50419,12220,3512,6664,1101,0,19018,1063,9,81
