Year,State,Percentage of Schools with drinking water facility - All management,Percentage of Schools with drinking water facility - Government,Percentage of Schools with drinking water facility - Government aided,Percentage of Schools with drinking water facility - Pvt. unaided,Percentage of Schools with drinking water facility - Others,Percentage of Schools with functional drinking water facility - All management,Percentage of Schools with functional drinking water facility - Government,Percentage of Schools with functional drinking water facility - Government aided,Percentage of Schools with functional drinking water facility - Pvt. unaided,Percentage of Schools with functional drinking water facility - Others
2018-19,India,95.78,96.29,95.16,95.51,88.56,91.24,92.16,92.5,89.36,82.58
2018-19,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0,99.76,99.71,100.0,100.0,100.0
2018-19,Andhra Pradesh,89.46,85.29,99.79,99.6,97.25,77.42,74.46,85.89,84.5,79.75
2018-19,Arunachal Pradesh,62.06,57.19,92.19,86.88,85.11,52.44,47.5,70.31,78.73,80.85
2018-19,Assam,88.88,94.2,83.06,92.7,58.06,86.04,91.71,79.11,90.17,53.65
2018-19,Bihar,99.56,99.63,99.71,99.52,99.03,98.67,98.86,98.28,97.95,97.69
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,99.25,99.16,99.31,99.91,99.39,88.93,88.77,93.78,89.92,86.24
2018-19,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Gujarat,99.99,99.98,100.0,100.0,100.0,99.99,99.98,100.0,100.0,100.0
2018-19,Haryana,99.75,99.63,100.0,99.96,99.81,99.66,99.52,100.0,99.89,99.72
2018-19,Himachal Pradesh,99.92,99.91,0.0,99.96,100.0,99.57,99.81,0.0,98.27,100.0
2018-19,Jammu and Kashmir,96.65,96.05,100.0,99.25,95.74,94.93,94.16,100.0,98.22,93.62
2018-19,Jharkhand,96.71,97.1,96.01,97.71,94.74,90.88,91.62,86.32,90.64,88.04
2018-19,Karnataka,98.67,99.54,99.65,96.2,82.14,98.66,99.54,99.65,96.2,82.14
2018-19,Kerala,99.55,98.92,99.85,99.81,99.7,98.66,98.04,99.24,98.48,98.28
2018-19,Ladakh,72.58,70.65,82.14,85.84,0.0,68.6,66.48,75.0,84.07,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,95.38,96.99,88.56,89.51,85.6,89.09,92.75,76.66,76.01,60.71
2018-19,Maharashtra,99.04,98.72,99.73,99.28,99.16,97.12,96.38,98.7,97.68,97.59
2018-19,Manipur,89.55,86.95,89.78,96.41,95.03,86.15,83.57,86.03,92.92,92.82
2018-19,Meghalaya,37.71,34.63,44.94,34.14,41.2,33.86,30.65,40.37,31.8,39.06
2018-19,Mizoram,93.64,93.14,96.97,94.34,91.4,92.64,92.04,96.1,93.56,90.32
2018-19,Nagaland,63.48,60.49,0.0,71.54,0.0,59.23,55.9,0.0,68.19,0.0
2018-19,Odisha,100.0,100.0,100.0,100.0,100.0,99.22,99.29,98.87,99.15,98.52
2018-19,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Punjab,99.91,99.89,99.13,100.0,100.0,99.88,99.87,99.13,99.95,99.64
2018-19,Rajasthan,94.94,92.78,0.0,99.08,94.08,87.36,86.05,0.0,90.16,82.84
2018-19,Sikkim,99.84,99.77,100.0,100.0,0.0,99.77,99.77,100.0,99.76,0.0
2018-19,Tamil Nadu,96.42,97.66,96.65,93.07,85.08,93.98,95.09,93.52,91.48,83.02
2018-19,Telangana,93.7,91.8,93.78,98.54,96.59,89.25,86.25,91.8,96.72,93.17
2018-19,Tripura,79.96,78.83,91.3,92.13,80.57,72.64,71.52,89.13,86.3,70.04
2018-19,Uttar Pradesh,96.82,97.5,97.08,95.88,94.69,89.52,90.92,89.68,87.34,86.83
2018-19,Uttarakhand,93.1,91.71,95.29,96.58,99.18,88.87,87.29,92.86,92.72,95.1
2018-19,West Bengal,95.36,99.28,99.21,74.52,68.93,90.67,94.92,95.28,68.2,61.78
2019-20,India,97.15,97.1,96.23,98.3,92.33,93.77,93.88,94.29,94.15,88.42
2019-20,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Andhra Pradesh,89.6,85.75,97.4,99.18,94.37,89.13,85.26,96.64,98.79,94.04
2019-20,Arunachal Pradesh,76.95,73.13,98.46,95.54,98.08,63.88,58.93,84.62,88.44,96.15
2019-20,Assam,90.13,94.72,85.55,94.24,61.62,87.05,92.07,81.05,91.6,56.44
2019-20,Bihar,99.79,99.84,99.72,99.67,99.44,99.31,99.46,99.31,99.08,98.38
2019-20,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Chhattisgarh,98.39,98.17,99.54,99.81,99.68,78.67,78.77,85.15,77.74,76.34
2019-20,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Gujarat,99.99,99.98,100.0,99.99,100.0,99.99,99.98,100.0,99.99,100.0
2019-20,Haryana,99.82,99.71,100.0,100.0,100.0,99.46,99.5,100.0,99.41,99.2
2019-20,Himachal Pradesh,99.91,99.9,0.0,99.96,100.0,99.76,99.82,0.0,99.43,100.0
2019-20,Jammu and Kashmir,96.47,95.75,100.0,99.43,98.21,94.7,93.91,100.0,97.89,98.21
2019-20,Jharkhand,98.34,98.32,97.87,99.54,98.26,96.0,95.95,94.8,98.16,95.98
2019-20,Karnataka,99.83,99.75,99.96,99.98,100.0,94.74,94.62,95.94,94.62,84.21
2019-20,Kerala,99.62,98.94,99.93,99.94,99.74,99.0,98.26,99.49,99.06,99.06
2019-20,Ladakh,70.21,67.58,82.76,88.39,0.0,63.28,60.02,75.86,86.61,0.0
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,97.4,98.39,94.43,94.77,90.44,91.89,94.84,85.7,83.97,70.71
2019-20,Maharashtra,99.28,98.91,99.88,99.8,99.55,97.39,96.59,98.99,98.11,98.0
2019-20,Manipur,93.2,91.76,91.11,98.13,95.19,88.81,86.58,87.69,94.98,93.05
2019-20,Meghalaya,42.14,38.53,49.64,39.9,45.21,37.55,33.35,45.1,37.03,41.77
2019-20,Mizoram,91.08,88.32,99.13,95.51,96.84,89.22,86.64,98.27,93.4,90.53
2019-20,Nagaland,66.57,62.71,0.0,76.94,100.0,61.71,57.33,0.0,73.46,100.0
2019-20,Odisha,100.0,100.0,100.0,100.0,99.94,96.99,96.83,97.09,98.16,97.02
2019-20,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Rajasthan,97.39,96.32,0.0,99.53,95.72,91.22,91.16,0.0,91.73,85.78
2019-20,Sikkim,99.92,99.88,100.0,100.0,0.0,99.92,99.88,100.0,100.0,0.0
2019-20,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Telangana,95.61,93.78,99.72,100.0,100.0,92.45,89.78,97.72,98.9,97.83
2019-20,Tripura,80.51,79.13,91.11,93.75,83.21,72.83,71.37,88.89,87.5,74.25
2019-20,Uttar Pradesh,98.56,98.53,98.81,98.6,98.46,95.0,95.31,95.46,94.56,94.73
2019-20,Uttarakhand,94.9,93.63,96.76,98.19,99.36,90.95,89.24,94.65,95.41,95.11
2019-20,West Bengal,99.24,99.57,97.85,97.04,96.58,99.24,99.57,97.85,97.04,96.58
2020-21,India,97.45,97.39,96.46,98.58,93.0,95.17,95.39,94.93,95.45,89.5
2020-21,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Andhra Pradesh,88.38,84.29,97.12,98.82,94.39,87.88,83.75,96.51,98.42,94.04
2020-21,Arunachal Pradesh,76.57,72.53,97.01,96.57,98.04,64.24,59.1,83.58,90.12,96.08
2020-21,Assam,92.47,96.92,87.68,95.52,65.26,89.61,94.73,82.82,92.82,59.39
2020-21,Bihar,99.71,99.73,99.73,99.73,99.6,99.38,99.4,99.46,99.39,99.17
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Chhattisgarh,99.86,99.85,99.77,99.87,100.0,97.11,97.38,98.37,95.26,96.5
2020-21,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Gujarat,99.97,99.96,100.0,99.99,100.0,99.96,99.95,100.0,99.99,100.0
2020-21,Haryana,99.63,99.42,100.0,99.98,100.0,99.36,99.13,100.0,99.77,99.37
2020-21,Himachal Pradesh,99.94,99.94,0.0,99.96,100.0,99.82,99.85,0.0,99.64,100.0
2020-21,Jammu and Kashmir,97.13,96.58,100.0,99.35,98.23,94.96,94.29,100.0,97.65,97.35
2020-21,Jharkhand,98.22,98.05,98.47,99.68,98.79,96.03,95.73,96.09,98.57,97.02
2020-21,Karnataka,99.68,99.55,99.96,99.9,100.0,97.68,97.59,98.34,97.68,88.24
2020-21,Kerala,99.76,99.34,99.92,100.0,100.0,99.4,98.69,99.76,99.57,99.81
2020-21,Ladakh,95.83,95.63,100.0,96.43,0.0,89.58,88.85,96.55,93.75,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,98.18,98.65,95.34,96.94,95.09,93.89,95.85,88.23,88.79,77.59
2020-21,Maharashtra,99.44,99.13,99.94,99.86,100.0,97.91,97.24,99.29,98.45,98.79
2020-21,Manipur,96.97,97.15,93.68,98.44,96.32,96.56,96.84,93.16,97.86,95.71
2020-21,Meghalaya,44.21,40.01,51.96,43.46,47.79,39.22,34.59,46.77,40.29,43.38
2020-21,Mizoram,91.59,88.7,99.57,96.38,97.67,90.27,87.41,98.27,95.14,94.19
2020-21,Nagaland,67.19,62.58,0.0,79.41,100.0,62.38,57.22,0.0,76.04,100.0
2020-21,Odisha,99.14,99.88,98.34,96.5,90.13,96.46,97.27,95.12,94.13,85.82
2020-21,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,97.81,96.94,0.0,99.55,96.61,91.85,91.73,0.0,92.41,86.97
2020-21,Sikkim,99.68,99.53,100.0,100.0,0.0,99.68,99.53,100.0,100.0,0.0
2020-21,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Telangana,95.75,93.92,100.0,100.0,100.0,92.75,90.06,98.29,99.05,98.88
2020-21,Tripura,82.63,81.27,95.35,95.83,84.59,73.57,71.86,90.7,90.0,75.94
2020-21,Uttar Pradesh,98.82,98.82,99.14,98.81,98.65,95.97,96.51,96.59,95.21,95.57
2020-21,Uttarakhand,95.16,93.97,97.56,98.22,98.62,90.89,89.15,95.44,95.68,91.73
2020-21,West Bengal,99.43,99.63,98.85,98.13,97.39,99.41,99.63,98.85,97.94,97.2
2021-22,India,98.2,98.2,97.0,99.0,94.7,95.9,96.1,95.6,96.0,91.4
2021-22,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Andhra Pradesh,100.0,99.9,99.9,100.0,100.0,99.1,99.1,98.8,99.3,98.6
2021-22,Arunachal Pradesh,81.9,78.8,98.5,96.6,95.7,67.9,63.2,86.8,91.7,91.5
2021-22,Assam,93.9,97.3,87.8,96.7,67.5,91.3,95.3,83.4,94.3,61.6
2021-22,Bihar,99.7,99.7,99.3,99.8,99.7,99.3,99.2,99.1,99.4,99.3
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,100.0,100.0,100.0,100.0,100.0,98.3,98.4,99.5,97.7,97.6
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,100.0,100.0,100.0,100.0,100.0,99.9,99.9,100.0,99.9,100.0
2021-22,Haryana,99.8,99.6,100.0,100.0,100.0,99.5,99.3,100.0,99.9,99.7
2021-22,Himachal Pradesh,100.0,100.0,0.0,100.0,100.0,99.8,99.8,0.0,99.7,100.0
2021-22,Jammu and Kashmir,97.4,96.8,100.0,99.5,100.0,95.3,94.6,100.0,98.2,99.1
2021-22,Jharkhand,98.3,98.1,98.6,99.7,99.1,95.9,95.5,95.2,98.8,97.6
2021-22,Karnataka,99.7,99.6,100.0,99.9,100.0,98.0,97.9,98.7,98.1,100.0
2021-22,Kerala,99.9,99.6,100.0,100.0,100.0,99.7,99.2,99.9,99.8,99.8
2021-22,Ladakh,99.5,99.5,100.0,99.1,0.0,91.7,90.8,96.4,97.3,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,98.4,98.5,96.6,98.5,96.0,94.2,95.1,91.5,91.9,82.3
2021-22,Maharashtra,99.5,99.2,100.0,99.9,99.9,98.0,97.3,99.3,98.7,98.8
2021-22,Manipur,98.9,99.2,97.3,99.1,97.0,98.4,98.7,96.6,98.7,96.3
2021-22,Meghalaya,53.0,50.2,59.1,51.3,53.3,46.0,41.9,52.9,47.1,48.4
2021-22,Mizoram,91.7,89.6,98.7,95.0,97.6,90.2,88.1,97.4,93.4,95.2
2021-22,Nagaland,66.1,60.1,0.0,81.5,100.0,60.6,53.6,0.0,78.6,100.0
2021-22,Odisha,98.8,98.9,98.6,99.0,97.7,97.0,97.0,96.6,98.0,96.0
2021-22,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Rajasthan,98.0,97.1,0.0,99.7,96.9,92.5,92.4,0.0,93.1,87.3
2021-22,Sikkim,99.5,99.3,100.0,100.0,0.0,99.3,99.0,100.0,100.0,0.0
2021-22,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Telangana,95.4,93.8,93.0,99.4,100.0,86.4,84.0,84.3,92.3,91.6
2021-22,Tripura,83.9,82.7,93.0,97.3,84.7,75.5,74.0,88.4,92.0,75.5
2021-22,Uttar Pradesh,99.1,99.2,99.4,99.0,99.0,96.6,97.2,97.0,95.8,96.0
2021-22,Uttarakhand,96.9,96.2,97.9,99.0,99.4,92.5,91.1,95.6,96.6,91.6
2021-22,West Bengal,99.5,99.6,100.0,98.5,97.8,99.5,99.6,100.0,98.5,97.8