Year,State,Percentage of Schools with electricity connection - All management,Percentage of Schools with electricity connection - Government,Percentage of Schools with electricity connection - Government aided,Percentage of Schools with electricity connection - Pvt. unaided,Percentage of Schools with electricity connection - Others,Percentage of Schools with functional electricity connection - All management,Percentage of Schools with functional electricity connection - Government,Percentage of Schools with functional electricity connection - Government aided,Percentage of Schools with functional electricity connection - Pvt. unaided,Percentage of Schools with functional electricity connection - Others
2018-19,India,76.74,73.68,82.2,87.01,67.84,73.86,70.09,81.39,85.81,65.84
2018-19,Andaman and Nicobar Islands,92.51,90.86,100.0,100.0,100.0,92.27,90.56,100.0,100.0,100.0
2018-19,Andhra Pradesh,94.81,93.95,78.64,99.6,97.25,93.06,93.5,77.92,94.55,72.25
2018-19,Arunachal Pradesh,45.08,36.65,92.19,89.46,76.6,39.81,30.61,90.63,88.47,72.34
2018-19,Assam,32.8,34.19,16.05,68.57,7.82,30.16,31.32,14.02,67.13,5.26
2018-19,Bihar,78.97,76.81,83.09,91.71,86.64,77.75,75.49,81.81,91.34,85.59
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,87.39,86.2,85.71,95.94,87.77,80.82,78.79,84.56,94.81,85.93
2018-19,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Goa,99.93,99.88,100.0,100.0,0.0,99.93,99.88,100.0,100.0,0.0
2018-19,Gujarat,99.92,99.88,99.98,100.0,100.0,99.92,99.88,99.98,100.0,100.0
2018-19,Haryana,98.92,98.51,100.0,99.58,99.54,97.92,96.91,100.0,99.55,99.44
2018-19,Himachal Pradesh,96.39,95.83,0.0,99.53,100.0,95.27,94.53,0.0,99.39,100.0
2018-19,Jammu and Kashmir,67.36,63.39,100.0,84.15,80.85,65.34,61.2,100.0,82.83,78.72
2018-19,Jharkhand,77.67,78.41,51.49,86.0,76.64,72.78,72.7,47.92,84.36,74.98
2018-19,Karnataka,88.82,88.78,90.71,88.24,85.71,88.79,88.75,90.71,88.21,85.71
2018-19,Kerala,99.01,97.43,99.86,99.68,98.73,98.92,97.29,99.81,99.62,98.66
2018-19,Ladakh,43.26,39.21,78.57,67.26,0.0,40.99,36.58,78.57,67.26,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,57.25,50.4,66.02,84.38,75.77,55.21,48.2,64.65,82.98,74.49
2018-19,Maharashtra,94.46,91.88,98.31,98.34,98.85,86.71,79.39,97.61,97.8,98.43
2018-19,Manipur,55.12,45.53,32.71,92.32,84.53,48.29,36.38,25.89,91.53,83.43
2018-19,Meghalaya,20.26,13.46,26.72,27.66,40.99,19.08,12.23,25.54,26.67,39.7
2018-19,Mizoram,77.46,72.7,93.07,85.07,86.02,73.88,67.59,92.64,84.39,84.95
2018-19,Nagaland,65.44,57.6,0.0,86.58,0.0,63.05,54.81,0.0,85.23,0.0
2018-19,Odisha,39.47,32.56,52.06,83.07,77.22,37.89,31.0,50.54,81.68,74.63
2018-19,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Punjab,99.95,99.95,99.34,100.0,100.0,99.95,99.95,99.34,100.0,100.0
2018-19,Rajasthan,72.6,61.73,0.0,93.28,70.52,71.27,60.22,0.0,92.32,68.8
2018-19,Sikkim,98.76,98.24,100.0,99.76,0.0,98.45,97.78,100.0,99.76,0.0
2018-19,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Telangana,93.46,91.8,92.08,97.88,88.29,89.33,86.07,90.95,97.65,86.83
2018-19,Tripura,35.61,31.63,84.78,82.51,30.77,34.28,30.26,84.78,81.63,29.15
2018-19,Uttar Pradesh,71.12,69.43,78.1,74.03,68.62,66.16,62.4,76.54,72.24,66.07
2018-19,Uttarakhand,86.0,83.68,89.94,91.83,95.51,81.75,78.12,88.8,90.98,94.29
2018-19,West Bengal,91.36,93.75,90.55,79.15,73.72,89.07,91.34,84.25,77.62,71.78
2019-20,India,83.43,81.48,85.85,90.44,73.01,80.16,77.34,84.23,89.23,71.04
2019-20,Andaman and Nicobar Islands,92.34,90.64,100.0,100.0,100.0,92.34,90.64,100.0,100.0,100.0
2019-20,Andhra Pradesh,95.15,94.23,81.56,99.53,99.01,93.97,93.87,81.29,96.25,81.13
2019-20,Arunachal Pradesh,56.55,48.95,95.38,94.93,90.38,47.0,37.79,93.85,93.91,84.62
2019-20,Assam,42.08,46.62,16.64,71.17,7.75,39.47,43.83,14.43,69.67,5.1
2019-20,Bihar,84.48,82.38,85.99,95.73,91.51,83.35,81.19,85.02,95.16,90.4
2019-20,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Chhattisgarh,91.79,91.0,89.33,97.49,90.85,85.33,83.66,86.77,96.62,88.64
2019-20,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Gujarat,99.94,99.92,99.98,99.99,100.0,99.94,99.92,99.98,99.99,100.0
2019-20,Haryana,99.12,98.99,100.0,99.39,98.9,97.72,96.73,100.0,99.34,98.8
2019-20,Himachal Pradesh,97.48,97.08,0.0,99.64,100.0,96.27,95.69,0.0,99.46,100.0
2019-20,Jammu and Kashmir,70.46,66.82,100.0,85.39,76.79,68.18,64.31,100.0,84.08,75.0
2019-20,Jharkhand,92.98,94.94,61.38,94.74,87.79,89.55,91.02,57.8,93.43,86.44
2019-20,Karnataka,97.8,99.46,99.89,92.91,100.0,97.68,99.31,99.88,92.84,100.0
2019-20,Kerala,99.17,97.75,99.87,99.66,99.49,99.06,97.53,99.83,99.57,99.4
2019-20,Ladakh,45.92,42.17,75.86,68.75,0.0,41.84,37.46,75.86,68.75,0.0
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,64.68,57.36,70.76,86.89,79.77,62.42,54.89,69.37,85.22,78.45
2019-20,Maharashtra,94.77,92.09,98.57,98.95,99.0,86.1,78.01,97.88,98.41,98.66
2019-20,Manipur,64.83,59.46,34.53,93.79,85.03,52.33,41.06,26.67,93.2,83.96
2019-20,Meghalaya,23.02,15.45,29.78,32.03,42.86,21.68,14.12,28.42,30.98,40.33
2019-20,Mizoram,81.73,78.45,95.24,86.23,87.37,77.96,73.04,94.81,85.47,86.32
2019-20,Nagaland,70.27,63.05,0.0,89.68,100.0,66.93,58.88,0.0,88.61,100.0
2019-20,Odisha,78.56,76.72,77.12,93.49,85.96,66.02,63.27,63.69,88.14,78.59
2019-20,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0,99.91,99.87,100.0,100.0,100.0
2019-20,Rajasthan,78.33,69.93,0.0,94.44,73.49,77.1,68.52,0.0,93.59,71.75
2019-20,Sikkim,98.9,98.47,100.0,99.75,0.0,98.28,97.53,100.0,99.75,0.0
2019-20,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Telangana,95.74,93.96,100.0,100.0,100.0,92.55,89.43,100.0,100.0,100.0
2019-20,Tripura,39.33,35.42,84.44,83.52,36.19,37.69,33.71,84.44,82.67,34.33
2019-20,Uttar Pradesh,77.52,74.72,82.43,81.34,76.59,72.8,67.61,80.99,79.46,74.34
2019-20,Uttarakhand,87.62,85.05,92.06,94.06,98.09,83.69,79.93,90.76,93.31,96.38
2019-20,West Bengal,96.05,97.15,96.77,89.23,84.46,94.85,95.92,95.7,88.26,83.0
2020-21,India,86.9,85.95,86.54,91.76,74.56,83.92,82.15,84.98,90.74,72.63
2020-21,Andaman and Nicobar Islands,92.33,90.64,100.0,100.0,0.0,92.33,90.64,100.0,100.0,0.0
2020-21,Andhra Pradesh,95.06,94.34,82.93,99.01,81.75,95.05,94.32,82.93,98.97,81.75
2020-21,Arunachal Pradesh,57.28,49.69,97.01,95.16,92.16,47.21,37.83,95.52,94.35,88.24
2020-21,Assam,60.02,70.54,19.27,74.29,9.45,57.62,68.08,16.92,72.85,6.72
2020-21,Bihar,86.54,84.7,87.89,96.59,92.89,85.37,83.45,87.35,95.96,91.82
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Chhattisgarh,94.24,93.69,90.7,98.11,95.22,88.12,86.74,88.14,97.32,92.68
2020-21,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Gujarat,99.94,99.91,99.98,100.0,100.0,99.94,99.91,99.98,100.0,100.0
2020-21,Haryana,98.96,98.73,100.0,99.4,98.52,97.55,96.52,100.0,99.27,98.42
2020-21,Himachal Pradesh,98.15,97.86,0.0,99.75,100.0,97.1,96.65,0.0,99.64,100.0
2020-21,Jammu and Kashmir,73.38,70.07,100.0,86.79,79.65,70.47,66.83,100.0,85.24,76.99
2020-21,Jharkhand,94.65,96.23,67.74,96.3,90.57,91.24,92.32,64.26,95.27,89.25
2020-21,Karnataka,98.96,99.21,99.87,97.98,100.0,98.62,98.75,99.78,97.89,94.12
2020-21,Kerala,99.38,98.25,99.93,99.78,99.81,99.23,97.79,99.93,99.72,99.81
2020-21,Ladakh,88.92,89.51,100.0,81.25,0.0,88.64,89.18,100.0,81.25,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,74.29,69.25,72.83,89.55,85.11,72.03,66.71,71.41,88.1,84.02
2020-21,Maharashtra,95.38,92.93,98.87,99.13,99.27,86.42,78.36,98.16,98.56,98.91
2020-21,Manipur,66.15,60.53,37.44,95.13,85.89,53.36,41.9,28.38,94.84,84.05
2020-21,Meghalaya,24.38,16.54,31.03,34.56,45.04,22.9,15.04,29.6,33.32,42.46
2020-21,Mizoram,84.0,80.92,96.54,88.29,89.53,80.08,75.41,95.67,87.43,87.21
2020-21,Nagaland,71.68,64.81,0.0,89.91,100.0,68.19,60.46,0.0,88.69,100.0
2020-21,Odisha,81.29,79.94,78.1,93.92,84.46,70.88,68.83,66.03,89.36,78.43
2020-21,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,84.94,79.76,0.0,95.42,76.54,83.81,78.43,0.0,94.72,74.84
2020-21,Sikkim,99.21,98.82,100.0,100.0,0.0,98.34,97.53,100.0,100.0,0.0
2020-21,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Telangana,94.12,92.06,91.0,99.37,100.0,90.59,87.02,91.0,99.35,99.44
2020-21,Tripura,43.96,40.38,86.05,86.11,37.59,42.14,38.43,86.05,85.56,35.71
2020-21,Uttar Pradesh,81.75,80.91,83.91,83.29,78.33,77.87,75.35,82.36,81.38,75.84
2020-21,Uttarakhand,89.68,87.59,93.32,94.9,98.23,86.15,83.01,92.02,94.2,96.65
2020-21,West Bengal,96.75,97.65,97.7,91.02,86.32,95.6,96.48,96.55,90.07,84.92
2021-22,India,89.3,88.9,88.3,92.6,77.9,86.6,85.4,86.9,91.7,76.0
2021-22,Andaman and Nicobar Islands,92.8,91.2,100.0,100.0,0.0,92.8,91.2,100.0,100.0,0.0
2021-22,Andhra Pradesh,98.8,98.5,97.1,99.9,100.0,98.0,97.5,95.5,99.7,99.1
2021-22,Arunachal Pradesh,66.7,60.7,98.5,96.0,87.2,53.8,45.4,97.1,94.6,85.1
2021-22,Assam,77.1,89.7,23.5,77.8,11.1,75.1,87.8,21.1,76.5,8.4
2021-22,Bihar,88.8,87.1,88.0,97.6,94.7,87.6,85.8,87.5,97.1,93.7
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,95.8,95.4,91.4,98.7,96.2,91.4,90.4,89.5,98.1,94.1
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,100.0,99.9,100.0,100.0,100.0,100.0,99.9,100.0,100.0,100.0
2021-22,Haryana,99.1,98.9,100.0,99.5,99.2,97.8,96.8,100.0,99.4,99.1
2021-22,Himachal Pradesh,98.7,98.4,0.0,99.9,100.0,97.8,97.4,0.0,99.9,100.0
2021-22,Jammu and Kashmir,76.6,73.8,100.0,88.0,81.9,72.9,69.7,100.0,86.4,80.0
2021-22,Jharkhand,95.3,96.5,68.7,96.7,92.6,92.1,93.0,64.8,96.0,91.3
2021-22,Karnataka,99.1,99.1,99.9,98.6,100.0,98.6,98.5,99.8,98.5,100.0
2021-22,Kerala,99.6,98.8,100.0,99.8,99.8,99.5,98.6,100.0,99.8,99.8
2021-22,Ladakh,93.4,93.2,100.0,92.9,0.0,92.2,91.9,100.0,92.9,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,77.1,72.2,75.0,91.7,86.3,74.8,69.5,73.8,90.6,85.2
2021-22,Maharashtra,95.0,92.2,98.9,99.2,99.9,85.6,76.9,98.3,98.7,99.4
2021-22,Manipur,66.5,60.7,39.3,96.2,86.7,54.5,43.5,30.0,95.9,85.9
2021-22,Meghalaya,26.5,18.2,33.2,38.8,46.9,24.7,16.2,31.6,37.0,44.6
2021-22,Mizoram,84.3,81.4,96.5,88.3,90.5,79.6,74.8,95.7,87.3,89.3
2021-22,Nagaland,76.3,70.0,0.0,92.7,100.0,67.1,57.8,0.0,91.2,100.0
2021-22,Odisha,84.3,83.2,79.1,96.5,91.1,76.7,75.1,70.1,93.4,86.5
2021-22,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Rajasthan,87.7,83.9,0.0,96.0,78.1,86.7,82.7,0.0,95.4,76.4
2021-22,Sikkim,99.6,99.4,100.0,100.0,0.0,98.4,97.7,100.0,100.0,0.0
2021-22,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Telangana,93.9,92.0,88.9,98.7,98.8,90.3,87.0,88.7,98.7,98.8
2021-22,Tripura,57.3,55.6,86.1,89.3,36.4,55.0,53.0,86.1,89.3,34.1
2021-22,Uttar Pradesh,84.5,85.1,84.9,84.4,79.5,81.3,80.8,83.3,82.6,77.1
2021-22,Uttarakhand,91.6,89.8,93.8,96.3,98.8,88.6,86.0,92.8,95.6,97.4
2021-22,West Bengal,97.3,98.1,97.7,92.2,88.6,96.2,96.9,96.6,91.2,87.2