Year,State,Percentage of Schools with hand wash facility - All management,Percentage of Schools with hand wash facility - Government,Percentage of Schools with hand wash facility - Government aided,Percentage of Schools with hand wash facility - Pvt. unaided,Percentage of Schools with hand wash facility - Others
2018-19,India,88.18,88.56,87.14,89.06,77.4
2018-19,Andaman and Nicobar Islands,98.31,97.94,100.0,100.0,100.0
2018-19,Andhra Pradesh,81.68,82.58,77.41,79.96,73.0
2018-19,Arunachal Pradesh,28.0,19.35,70.31,74.35,59.57
2018-19,Assam,78.92,90.1,53.13,76.07,31.1
2018-19,Bihar,81.32,80.06,75.79,90.16,85.44
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,92.8,91.91,96.77,98.83,94.8
2018-19,Dadra and Nagar Haveli,99.71,99.67,100.0,100.0,100.0
2018-19,Daman and Diu,98.57,99.11,100.0,95.65,100.0
2018-19,Delhi,99.96,99.96,100.0,99.96,0.0
2018-19,Goa,99.93,100.0,100.0,99.28,0.0
2018-19,Gujarat,93.36,95.42,84.34,91.83,75.0
2018-19,Haryana,98.41,98.56,96.15,98.23,97.68
2018-19,Himachal Pradesh,98.77,98.64,0.0,99.5,100.0
2018-19,Jammu and Kashmir,93.65,93.3,100.0,95.2,87.23
2018-19,Jharkhand,82.38,81.52,78.5,88.71,85.97
2018-19,Karnataka,94.28,94.36,95.81,93.52,85.71
2018-19,Kerala,97.35,96.61,97.87,97.53,96.86
2018-19,Ladakh,46.2,42.06,75.0,72.57,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,85.56,83.93,88.79,91.86,92.21
2018-19,Maharashtra,96.64,95.57,98.11,98.44,98.53
2018-19,Manipur,79.77,79.66,82.96,80.96,64.64
2018-19,Meghalaya,27.4,27.75,29.2,22.03,31.12
2018-19,Mizoram,68.39,74.61,41.13,60.29,53.76
2018-19,Nagaland,45.64,40.26,0.0,60.13,0.0
2018-19,Odisha,100.0,100.0,100.0,100.0,100.0
2018-19,Puducherry,98.92,98.11,100.0,100.0,0.0
2018-19,Punjab,99.0,98.88,98.69,99.28,99.64
2018-19,Rajasthan,94.05,92.86,0.0,96.88,85.72
2018-19,Sikkim,94.65,93.91,84.21,96.64,0.0
2018-19,Tamil Nadu,93.56,94.14,88.79,95.14,91.11
2018-19,Telangana,84.97,83.52,80.48,89.1,76.59
2018-19,Tripura,79.53,78.74,93.48,86.59,80.97
2018-19,Uttar Pradesh,83.34,83.97,84.44,82.37,81.57
2018-19,Uttarakhand,92.47,91.91,92.69,93.71,97.35
2018-19,West Bengal,90.69,93.52,82.68,75.32,73.56
2019-20,India,90.24,90.55,88.82,91.28,79.83
2019-20,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0
2019-20,Andhra Pradesh,84.4,84.01,82.81,85.99,69.54
2019-20,Arunachal Pradesh,38.57,29.61,89.23,84.38,67.31
2019-20,Assam,81.68,92.26,57.6,79.72,33.81
2019-20,Bihar,84.58,83.18,77.95,93.54,88.64
2019-20,Chandigarh,100.0,100.0,100.0,100.0,100.0
2019-20,Chhattisgarh,95.95,95.46,96.98,99.2,97.79
2019-20,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,0.0
2019-20,Daman and Diu,99.27,100.0,100.0,95.65,100.0
2019-20,Delhi,99.89,99.78,100.0,100.0,0.0
2019-20,Goa,100.0,100.0,100.0,100.0,0.0
2019-20,Gujarat,94.93,97.02,85.97,93.33,100.0
2019-20,Haryana,99.21,99.3,100.0,99.08,98.9
2019-20,Himachal Pradesh,99.02,98.89,0.0,99.71,100.0
2019-20,Jammu and Kashmir,93.84,93.19,100.0,96.53,94.64
2019-20,Jharkhand,86.65,86.12,81.33,91.26,89.23
2019-20,Karnataka,81.9,78.48,87.31,88.45,84.21
2019-20,Kerala,97.95,97.01,98.5,98.26,97.7
2019-20,Ladakh,46.49,42.06,82.76,73.21,0.0
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,89.48,88.44,90.89,92.59,92.31
2019-20,Maharashtra,97.37,96.52,98.48,98.83,98.78
2019-20,Manipur,80.61,79.62,82.74,84.93,65.78
2019-20,Meghalaya,31.3,31.61,33.21,25.84,34.36
2019-20,Mizoram,71.56,78.06,45.02,62.62,60.0
2019-20,Nagaland,48.11,41.62,0.0,65.55,100.0
2019-20,Odisha,98.62,99.13,97.71,97.25,90.1
2019-20,Puducherry,98.92,98.1,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0
2019-20,Rajasthan,95.6,94.88,0.0,97.47,88.07
2019-20,Sikkim,96.16,95.89,89.47,97.05,0.0
2019-20,Tamil Nadu,100.0,100.0,100.0,100.0,100.0
2019-20,Telangana,88.13,86.82,88.89,91.59,79.89
2019-20,Tripura,81.52,80.73,93.33,89.2,82.09
2019-20,Uttar Pradesh,86.54,87.24,87.96,85.75,84.35
2019-20,Uttarakhand,93.86,93.35,93.35,95.12,98.09
2019-20,West Bengal,96.79,97.55,88.17,92.08,89.0
2020-21,India,91.99,92.42,90.11,92.72,81.83
2020-21,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,0.0
2020-21,Andhra Pradesh,87.79,86.46,87.18,91.81,81.05
2020-21,Arunachal Pradesh,39.48,29.99,92.54,86.9,78.43
2020-21,Assam,86.21,95.57,67.57,84.23,41.35
2020-21,Bihar,85.37,84.01,77.69,94.28,89.39
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0
2020-21,Chhattisgarh,96.94,96.56,98.84,99.38,98.41
2020-21,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,100.0,100.0,100.0,100.0,0.0
2020-21,Gujarat,96.06,97.58,88.14,95.43,100.0
2020-21,Haryana,99.18,99.13,100.0,99.31,98.84
2020-21,Himachal Pradesh,99.18,99.06,0.0,99.89,100.0
2020-21,Jammu and Kashmir,95.7,95.28,100.0,97.38,96.46
2020-21,Jharkhand,89.49,89.09,84.43,93.39,91.61
2020-21,Karnataka,86.48,84.01,91.01,91.02,88.24
2020-21,Kerala,98.71,98.01,99.25,98.7,98.35
2020-21,Ladakh,54.64,49.95,100.0,81.25,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,91.43,90.6,91.85,93.92,93.35
2020-21,Maharashtra,97.94,97.24,98.83,99.13,99.03
2020-21,Manipur,83.11,81.93,85.13,88.32,63.8
2020-21,Meghalaya,34.15,34.09,36.14,29.37,38.97
2020-21,Mizoram,72.61,77.91,47.19,66.29,60.47
2020-21,Nagaland,53.77,47.54,0.0,70.26,100.0
2020-21,Odisha,95.06,96.21,90.91,92.38,85.28
2020-21,Puducherry,99.46,99.05,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,96.2,95.57,0.0,97.88,89.41
2020-21,Sikkim,96.52,96.12,89.47,97.71,0.0
2020-21,Tamil Nadu,100.0,100.0,100.0,100.0,100.0
2020-21,Telangana,88.37,86.87,82.86,92.54,81.01
2020-21,Tripura,83.87,83.12,95.35,92.22,82.71
2020-21,Uttar Pradesh,90.79,93.52,90.03,87.77,85.74
2020-21,Uttarakhand,95.08,94.54,95.44,96.4,98.23
2020-21,West Bengal,97.35,97.96,90.8,93.4,90.52
2021-22,India,93.6,94.2,91.7,94.0,84.3
2021-22,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,0.0
2021-22,Andhra Pradesh,98.4,98.1,97.7,99.4,96.7
2021-22,Arunachal Pradesh,45.2,35.8,95.6,91.1,85.1
2021-22,Assam,89.2,96.9,69.2,86.9,43.9
2021-22,Bihar,86.4,85.1,78.6,94.8,89.8
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,98.2,98.0,99.8,99.5,99.3
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,96.7,98.1,89.5,96.2,100.0
2021-22,Haryana,99.5,99.4,100.0,99.6,99.4
2021-22,Himachal Pradesh,99.4,99.3,0.0,99.9,100.0
2021-22,Jammu and Kashmir,96.3,95.8,100.0,98.4,97.1
2021-22,Jharkhand,91.5,91.2,85.2,94.9,93.1
2021-22,Karnataka,89.3,87.7,92.7,92.3,90.9
2021-22,Kerala,99.2,98.7,99.6,99.2,99.2
2021-22,Ladakh,63.5,59.2,100.0,86.6,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,93.0,92.2,93.5,95.4,93.6
2021-22,Maharashtra,98.4,97.9,99.2,99.3,99.7
2021-22,Manipur,83.2,80.9,85.3,90.9,66.7
2021-22,Meghalaya,37.9,37.6,39.8,34.1,41.9
2021-22,Mizoram,72.7,77.6,50.9,66.6,60.7
2021-22,Nagaland,60.5,54.0,0.0,77.4,100.0
2021-22,Odisha,96.7,97.2,93.3,96.8,95.1
2021-22,Puducherry,99.6,99.3,100.0,100.0,0.0
2021-22,Punjab,100.0,100.0,100.0,100.0,100.0
2021-22,Rajasthan,96.8,96.3,0.0,98.2,90.2
2021-22,Sikkim,97.3,96.8,94.7,98.7,0.0
2021-22,Tamil Nadu,100.0,100.0,100.0,100.0,100.0
2021-22,Telangana,88.5,87.1,81.3,92.4,80.8
2021-22,Tripura,85.6,84.9,95.4,94.2,83.1
2021-22,Uttar Pradesh,92.6,95.8,91.8,89.1,86.8
2021-22,Uttarakhand,96.4,96.1,95.9,97.4,98.6
2021-22,West Bengal,97.6,98.2,89.8,93.7,90.8