Year,State,Percentage of Schools with toilet facility - All management,Percentage of Schools with toilet facility - Government,Percentage of Schools with toilet facility - Government aided,Percentage of Schools with toilet facility - Pvt. unaided,Percentage of Schools with toilet facility - Others,Percentage of Schools with functional toilet facility - All management,Percentage of Schools with functional toilet facility - Government,Percentage of Schools with functional toilet facility - Government aided,Percentage of Schools with functional toilet facility - Pvt. unaided,Percentage of Schools with functional toilet facility - Others
2018-19,India,96.79,97.81,93.45,96.15,85.9,93.24,93.88,91.1,93.56,82.27
2018-19,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0,98.79,98.53,100.0,100.0,100.0
2018-19,Andhra Pradesh,97.73,97.9,83.12,99.51,92.75,70.3,60.9,73.79,95.99,87.75
2018-19,Arunachal Pradesh,73.56,71.85,84.38,84.1,61.7,68.2,65.65,84.38,82.9,61.7
2018-19,Assam,84.06,97.2,45.94,86.29,28.62,79.87,93.95,37.69,80.72,22.5
2018-19,Bihar,99.26,99.34,99.14,99.1,98.75,98.92,99.01,98.71,98.88,98.31
2018-19,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Chhattisgarh,99.25,99.16,99.31,99.91,99.39,98.81,98.69,97.47,99.82,98.17
2018-19,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-19,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Gujarat,99.89,99.82,100.0,100.0,100.0,99.89,99.82,100.0,100.0,100.0
2018-19,Haryana,99.35,99.04,100.0,99.86,99.81,99.07,98.63,100.0,99.8,99.72
2018-19,Himachal Pradesh,98.87,98.85,0.0,99.03,100.0,98.37,98.37,0.0,98.34,100.0
2018-19,Jammu and Kashmir,96.08,95.28,100.0,99.5,95.74,91.09,89.15,100.0,99.34,95.74
2018-19,Jharkhand,98.67,99.17,88.02,99.14,97.8,96.2,97.07,83.52,98.0,93.66
2018-19,Karnataka,97.07,97.8,99.39,94.49,78.57,93.67,93.97,97.51,91.56,71.43
2018-19,Kerala,99.63,99.18,99.96,99.71,99.33,99.5,98.88,99.92,99.62,99.33
2018-19,Ladakh,95.16,94.74,100.0,97.35,0.0,87.67,86.86,100.0,91.15,0.0
2018-19,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2018-19,Madhya Pradesh,98.25,98.46,97.37,97.48,97.03,96.94,97.14,96.91,96.28,94.21
2018-19,Maharashtra,98.34,97.95,98.97,98.93,98.22,95.62,94.1,98.14,97.64,97.07
2018-19,Manipur,87.7,86.23,78.88,96.11,94.48,75.91,71.46,60.99,95.31,92.27
2018-19,Meghalaya,74.03,80.36,73.74,54.73,62.66,65.36,70.88,64.51,49.86,54.29
2018-19,Mizoram,92.54,94.58,93.51,87.8,86.02,88.53,89.39,91.34,86.54,79.57
2018-19,Nagaland,92.55,91.73,0.0,94.77,0.0,90.77,89.49,0.0,94.23,0.0
2018-19,Odisha,99.62,99.96,97.07,99.41,98.52,97.86,98.71,92.5,96.69,93.7
2018-19,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2018-19,Punjab,99.85,99.93,93.45,100.0,100.0,97.01,96.37,93.01,98.62,99.64
2018-19,Rajasthan,93.01,92.43,0.0,94.6,85.76,84.84,84.22,0.0,86.68,75.6
2018-19,Sikkim,99.84,99.77,100.0,100.0,0.0,99.84,99.77,100.0,100.0,0.0
2018-19,Tamil Nadu,98.99,99.43,98.64,97.99,97.14,98.62,98.98,98.43,97.79,96.35
2018-19,Telangana,98.08,97.59,97.31,99.43,95.12,95.87,94.66,96.89,98.92,94.63
2018-19,Tripura,92.82,93.57,100.0,96.21,73.68,82.1,82.22,97.83,92.71,62.35
2018-19,Uttar Pradesh,95.96,97.32,95.7,93.9,93.24,93.33,94.57,93.79,91.55,89.88
2018-19,Uttarakhand,97.92,97.71,97.73,98.66,96.94,94.45,93.43,96.27,97.35,94.69
2018-19,West Bengal,99.34,99.94,99.21,96.35,94.46,98.03,99.59,98.43,89.34,89.24
2019-20,India,98.12,98.77,94.52,98.46,88.86,94.93,95.05,92.12,96.73,85.7
2019-20,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Andhra Pradesh,92.09,94.76,84.51,86.13,67.88,73.79,70.42,76.9,82.95,63.25
2019-20,Arunachal Pradesh,93.37,92.24,100.0,98.99,98.08,79.16,75.52,100.0,97.36,94.23
2019-20,Assam,88.59,98.61,64.43,95.21,37.48,83.04,94.95,49.44,89.0,26.97
2019-20,Bihar,99.77,99.74,99.72,99.97,99.82,99.57,99.53,99.58,99.84,99.63
2019-20,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Chhattisgarh,99.02,98.9,99.3,99.91,97.79,96.37,95.97,97.68,99.13,94.95
2019-20,Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Daman and Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Gujarat,99.91,99.88,99.95,99.99,100.0,99.63,99.45,99.91,99.99,100.0
2019-20,Haryana,99.55,99.28,100.0,99.99,100.0,99.3,98.94,100.0,99.87,99.8
2019-20,Himachal Pradesh,99.48,99.39,0.0,100.0,100.0,99.07,98.96,0.0,99.64,100.0
2019-20,Jammu and Kashmir,96.42,95.57,100.0,99.91,99.11,91.1,88.97,100.0,99.77,98.21
2019-20,Jharkhand,99.3,99.49,91.9,99.87,99.47,97.59,97.87,87.38,99.21,97.46
2019-20,Karnataka,99.87,99.84,99.92,99.95,100.0,99.59,99.42,99.85,99.92,100.0
2019-20,Kerala,99.92,99.8,99.97,100.0,99.91,99.66,98.98,99.96,99.97,99.91
2019-20,Ladakh,96.02,95.4,100.0,100.0,0.0,93.64,92.77,100.0,99.11,0.0
2019-20,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2019-20,Madhya Pradesh,98.99,99.01,98.99,98.96,98.58,97.46,97.36,98.23,97.82,96.21
2019-20,Maharashtra,98.79,98.09,99.9,99.79,99.33,96.04,94.01,99.31,98.75,98.78
2019-20,Manipur,93.61,93.74,82.22,99.51,95.19,78.32,73.78,60.68,98.62,93.05
2019-20,Meghalaya,84.11,90.29,82.66,69.52,66.0,73.56,78.93,72.37,60.69,58.05
2019-20,Mizoram,97.45,98.28,99.13,95.51,92.63,94.6,94.83,95.67,94.46,87.37
2019-20,Nagaland,95.98,95.03,0.0,98.53,100.0,92.68,90.9,0.0,97.45,100.0
2019-20,Odisha,95.84,99.69,74.67,86.73,80.79,87.41,89.78,71.11,85.07,76.91
2019-20,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2019-20,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Rajasthan,98.09,97.78,0.0,99.22,90.21,92.1,92.54,0.0,92.06,80.98
2019-20,Sikkim,99.92,99.88,100.0,100.0,0.0,99.92,99.88,100.0,100.0,0.0
2019-20,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-20,Telangana,98.66,98.11,99.57,100.0,99.46,95.63,93.93,98.86,99.73,99.46
2019-20,Tripura,95.89,96.82,100.0,98.86,76.49,83.74,83.81,97.78,95.17,65.3
2019-20,Uttar Pradesh,99.42,99.24,99.68,99.68,99.32,97.35,96.6,98.4,98.33,97.56
2019-20,Uttarakhand,98.43,97.95,98.7,99.73,100.0,94.98,93.54,97.41,98.76,99.15
2019-20,West Bengal,99.86,99.96,98.92,99.41,97.59,99.86,99.96,98.92,99.41,97.59
2020-21,India,98.49,98.77,96.16,99.46,90.39,95.71,95.56,93.87,97.93,87.27
2020-21,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Andhra Pradesh,95.48,95.0,83.73,98.81,75.79,80.35,75.25,77.32,95.52,70.88
2020-21,Arunachal Pradesh,93.28,92.13,98.51,99.19,98.04,77.03,72.95,98.51,97.38,96.08
2020-21,Assam,90.12,99.03,68.59,96.63,43.16,84.98,95.97,53.54,91.18,31.85
2020-21,Bihar,99.66,99.6,99.73,99.97,99.85,99.46,99.39,99.46,99.86,99.68
2020-21,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Chhattisgarh,99.76,99.73,100.0,99.93,99.68,99.25,99.2,99.53,99.59,99.36
2020-21,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Gujarat,99.79,99.69,99.96,99.98,100.0,99.18,98.75,99.91,99.97,100.0
2020-21,Haryana,99.26,98.8,100.0,100.0,100.0,99.04,98.5,100.0,99.93,99.68
2020-21,Himachal Pradesh,99.69,99.64,0.0,100.0,100.0,99.36,99.3,0.0,99.64,100.0
2020-21,Jammu and Kashmir,96.69,95.92,100.0,99.75,100.0,91.5,89.48,100.0,99.63,100.0
2020-21,Jharkhand,99.28,99.44,91.91,99.94,99.57,97.67,97.85,88.68,99.61,97.81
2020-21,Karnataka,99.66,99.5,99.99,99.92,100.0,99.18,98.79,99.96,99.9,100.0
2020-21,Kerala,99.88,99.68,99.97,100.0,99.81,99.6,98.78,99.97,99.97,99.81
2020-21,Ladakh,98.01,97.7,100.0,100.0,0.0,96.69,96.17,100.0,100.0,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,99.38,99.33,99.35,99.54,99.29,98.32,98.22,98.71,98.68,97.44
2020-21,Maharashtra,99.23,98.73,99.97,99.96,99.76,96.75,94.95,99.62,99.14,99.27
2020-21,Manipur,96.3,96.73,87.35,99.9,98.16,82.1,79.08,63.59,98.83,96.32
2020-21,Meghalaya,86.92,92.73,85.23,74.25,67.46,75.28,79.92,74.02,64.8,60.29
2020-21,Mizoram,97.66,98.32,98.7,96.19,93.02,95.67,95.9,96.1,95.52,89.53
2020-21,Nagaland,95.77,94.63,0.0,98.79,100.0,92.2,90.13,0.0,97.71,100.0
2020-21,Odisha,98.46,99.69,92.93,96.18,89.83,96.13,97.33,89.73,95.01,86.94
2020-21,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,98.59,98.07,0.0,99.86,94.96,93.11,93.19,0.0,93.49,85.63
2020-21,Sikkim,99.92,99.88,100.0,100.0,0.0,99.84,99.76,100.0,100.0,0.0
2020-21,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-21,Telangana,94.82,93.03,91.0,99.46,98.88,83.59,77.23,86.71,99.09,97.77
2020-21,Tripura,96.17,97.07,100.0,98.89,77.44,83.18,83.12,97.67,94.72,66.17
2020-21,Uttar Pradesh,99.4,99.12,99.59,99.76,99.48,97.65,96.9,98.7,98.58,98.0
2020-21,Uttarakhand,98.47,98.0,98.53,99.76,100.0,95.2,93.85,97.39,98.81,98.43
2020-21,West Bengal,99.93,99.98,98.85,99.78,98.54,99.93,99.98,98.85,99.78,98.54
2021-22,India,98.7,98.8,97.1,99.6,92.7,96.5,96.2,95.1,98.4,89.9
2021-22,Andaman and Nicobar Islands,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Andhra Pradesh,98.6,98.2,97.4,99.9,100.0,98.1,97.6,96.4,99.9,99.5
2021-22,Arunachal Pradesh,97.2,96.9,100.0,98.8,97.9,74.6,69.8,100.0,97.4,95.7
2021-22,Assam,92.0,98.6,73.0,97.7,46.4,86.9,94.9,58.6,92.8,35.2
2021-22,Bihar,99.7,99.7,99.3,99.9,99.8,99.3,99.2,99.2,99.9,99.7
2021-22,Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Chhattisgarh,99.6,99.6,100.0,100.0,100.0,98.5,98.3,99.3,99.8,99.7
2021-22,Daman and Diu and Dadra and Nagar Haveli,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Gujarat,99.8,99.7,100.0,100.0,100.0,99.1,98.6,99.9,100.0,100.0
2021-22,Haryana,99.2,98.7,100.0,100.0,100.0,98.9,98.3,100.0,99.9,99.7
2021-22,Himachal Pradesh,99.6,99.5,0.0,100.0,100.0,99.2,99.2,0.0,99.7,100.0
2021-22,Jammu and Kashmir,96.2,95.4,100.0,99.7,98.1,90.4,88.2,100.0,99.6,98.1
2021-22,Jharkhand,99.3,99.4,93.2,99.9,99.6,97.6,97.6,88.8,99.6,98.2
2021-22,Karnataka,99.6,99.4,100.0,99.9,100.0,98.9,98.4,99.9,99.8,100.0
2021-22,Kerala,100.0,99.9,100.0,100.0,100.0,99.9,99.7,100.0,100.0,99.9
2021-22,Ladakh,99.5,99.4,100.0,100.0,0.0,98.0,97.6,100.0,100.0,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,99.4,99.3,99.9,99.7,99.1,97.9,97.5,98.9,99.0,97.3
2021-22,Maharashtra,99.0,98.4,99.9,99.9,100.0,96.5,94.5,99.5,99.1,100.0
2021-22,Manipur,95.8,95.8,87.3,99.9,100.0,83.0,80.1,65.0,99.5,97.8
2021-22,Meghalaya,88.6,94.0,86.9,77.0,69.5,76.3,80.4,75.1,67.2,62.5
2021-22,Mizoram,96.9,96.8,97.4,97.1,95.2,92.3,90.4,95.2,96.3,91.7
2021-22,Nagaland,93.9,92.3,0.0,98.2,100.0,80.3,74.2,0.0,96.0,100.0
2021-22,Odisha,98.2,98.8,91.7,99.5,98.8,95.9,96.4,88.4,98.7,97.1
2021-22,Puducherry,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
2021-22,Punjab,99.9,99.8,100.0,100.0,100.0,99.8,99.7,100.0,100.0,100.0
2021-22,Rajasthan,98.7,98.2,0.0,99.9,95.9,93.7,93.7,0.0,94.2,86.8
2021-22,Sikkim,100.0,100.0,100.0,100.0,0.0,99.8,99.8,100.0,100.0,0.0
2021-22,Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Telangana,94.7,92.9,89.6,99.2,98.8,82.8,76.1,85.9,98.9,98.2
2021-22,Tripura,95.9,96.8,100.0,99.5,75.1,82.5,82.3,100.0,95.9,64.8
2021-22,Uttar Pradesh,99.4,99.2,99.6,99.8,99.5,98.0,97.4,98.7,98.7,98.2
2021-22,Uttarakhand,98.8,98.4,99.0,99.9,100.0,95.1,93.7,97.2,98.8,96.8
2021-22,West Bengal,99.9,100.0,98.9,99.8,98.5,99.9,100.0,98.9,99.7,98.4